army_name	character_name	script_name
#battle_set_piece_armies_characters_junctions_tables;0;db/battle_set_piece_armies_characters_junctions_tables/hkrul_norsca_qb_sur		
hkrul_bloodtide_olaf_spear_final_battle_defender_1	hkrul_bloodtide_olaf_spear_final_battle_ziege	ziege
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_cha_wizard_fire_3	ziege
hkrul_bloodtide_olaf_spear_final_battle_defender_2	hkrul_bloodtide_olaf_spear_final_battle_erich	erich
hkrul_bloodtide_olaf_spear_final_battle_defender_5	wh_main_emp_cha_general_4	back_1
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_aatu_cb	nor_ally
hkrul_bloodtide_olaf_spear_final_battle_player	wh_dlc08_qb_nor_wulfrik_monster_hunt_shaman_1	
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_olaf_cb	
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_tuula_cb	
hkrul_bloodtide_olaf_spear_final_battle_player	wh3_main_kho_cha_cultist_0	
hkrul_sarl_birna_bogtusk_final_battle_1_player_bogtusk	hkrul_birna_cb	
hkrul_sarl_birna_bogtusk_final_battle_1_player_bogtusk	hkrul_mortensen_cb	
hkrul_sarl_birna_bogtusk_final_battle_stage_1	hkrul_boartusk_boss_cb	boartusk_army_boss
hkrul_baerson_einar_bubos_enemy_beastmen_main	hkrul_bubos_boss	enemy_main
hkrul_baerson_einar_bubos_enemy_beastmen_main	wh3_dlc20_chs_cha_exalted_hero_mnur	enemy_main
hkrul_baerson_einar_bubos_enemy_beastmen_reserve	wh3_dlc25_chs_cha_chaos_sorcerer_nurgle_mnur	enemy_cygors_defenders
hkrul_baerson_einar_bubos_player	hkrul_rafn_cb	player_army
hkrul_baerson_einar_bubos_player	hkrul_einar_cb	player_army
hkrul_baerson_einar_bubos_player	wh_dlc08_qb_nor_wulfrik_monster_hunt_shaman_0	player_army
ga_ai_01	hkrul_kolsveinn_cb	ga_ai_01
hkrul_baerson_einar_aesling_player	hkrul_einar_cb	
hkrul_baerson_einar_aesling_reinforcement	wh_dlc15_nor_cha_marauder_chieftain_1	
ga_player_ally	scm_norsca_asta	ga_player_ally
