army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;0;db/battle_set_piece_armies_units_junctions_tables/hkrul_norsca_qb_ulfric			
hkrul_ullfric_qb_1_army_enemy	hkrul_wh2_dlc11_cst_mon_necrofex_colossus_0	saltspite_main	1
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_mon_rotting_leviathon_0	saltspite_main	1
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_art_carronade_tier_4	saltspite_main	1
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_inf_depth_guard_1_tier_4	saltspite_main	2
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_inf_zombie_gunnery_mob_0_rank_3	saltspite_main	3
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_mon_mournguls_0_tier_4	saltspite_main	1
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_inf_deck_gunners_0	saltspite_main	3
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_inf_sartosa_free_company_0_rank_6	saltspite_main	6
hkrul_ulfric_qb_1_army_enemy_reinforcement	wh2_dlc11_cst_mon_mournguls_0_tier_4	saltspite_vanguard	2
hkrul_ulfric_qb_1_army_enemy_reinforcement	wh2_dlc11_cst_inf_sartosa_free_company_0_rank_6	saltspite_vanguard	3
hkrul_ulfric_qb_1_army_enemy_reinforcement	wh2_dlc11_cst_inf_sartosa_free_company_0_rank_6	ogg_flankers	2
hkrul_ulfric_qb_1_army_enemy_reinforcement	hkrul_wh3_main_ogr_inf_maneaters_3_5	ogg_flankers	5
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_marauder_champions_1_1		2
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_marauder_champions_0_1		4
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_marauder_hunters_1_1		3
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_marauder_spearman_0_1		3
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_chaos_marauders_0_1		2
hkrul_ulfric_qb_1_army_player	hkrul_norscan_giant_5		1
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_marauder_hunters_0_1		2
hkrul_ulfric_qb_1_army_player	hkrul_norscan_feral_mammoth_3		2
hkrul_ulfric_qb_1_army_player	hkrul_bjornling_inf_chaos_marauders_1_1		2
hkrul_ulfric_qb_1_army_player_reinforcement	wh_dlc08_nor_cav_marauder_horsemasters_0	ulfric_reinforcements	2
hkrul_ulfric_qb_1_army_player_reinforcement	wh2_dlc17_nor_cav_marauder_horsemen_0_tier_4	ulfric_reinforcements	2
hkrul_ulfric_qb_1_army_player_reinforcement	wh_main_nor_cav_warwolves_chariot	ulfric_reinforcements	4
hkrul_ulfric_qb_1_army_player_reinforcement	wh_main_nor_cav_marauder_horsemen_1_rank_5	ulfric_reinforcements	3
