from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ab_wolftribe	
hunting_camp_main_1	hunting_camp_main_2
hunting_camp_main_2	hunting_camp_main_3
hunting_camp_main_3	hunting_camp_main_4
hunting_camp_beast_packs_1	hunting_camp_beast_packs_2
hunting_camp_beast_packs_2	hunting_camp_beast_packs_3
hunting_camp_shrine_1	hunting_camp_shrine_2
hunting_camp_shrine_2	hunting_camp_shrine_3
hunting_camp_shrine_3	hunting_camp_shrine_4
hunting_camp_defence_1	hunting_camp_defence_2
hunting_camp_defence_2	hunting_camp_defence_3
hunting_camp_defence_3	hunting_camp_defence_4
hunting_camp_hunting_parties_1	hunting_camp_hunting_parties_2
hunting_camp_hunting_parties_2	hunting_camp_hunting_parties_3
hunting_camp_thrill_1	hunting_camp_thrill_2
hunting_camp_thrill_2	hunting_camp_thrill_3
wolftribe_greathall_0	wolftribe_greathall_1
wolftribe_greathall_1	wolftribe_greathall_2
