key	agent_subtype	factorial_effect	value	scope
#campaign_agent_subtype_factorial_effect_junctions_tables;0;db/campaign_agent_subtype_factorial_effect_junctions_tables/scm_norsca				
1587558666	hkrul_soren	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558667	hkrul_verdandi	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558668	hkrul_swyrd	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558669	hkrul_lokjar	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558670	hkrul_kolsveinn	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558671	hkrul_oda	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558672	hkrul_rafn	skaven_discoverability_characters	15	EFS_ONLY_OWNER
1587558673	hkrul_uzul	skaven_discoverability_characters	15	EFS_ONLY_OWNER
72122332	arngrim_01	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
995924756	rana_01	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
