member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/rhox_bjornling		
rhox_bjornling_fighting_chaos_beastmen	ORIGINATOR	wh_dlc03_bst_beastmen
rhox_bjornling_fighting_chaos_chaos_dwarfs	ORIGINATOR	wh3_dlc23_chd_chaos_dwarfs
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_dae_daemons	ORIGINATOR	wh3_main_dae_daemons
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_kho_khorne	ORIGINATOR	wh3_main_kho_khorne
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_nur_nurgle	ORIGINATOR	wh3_main_nur_nurgle
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_sla_slaanesh	ORIGINATOR	wh3_main_sla_slaanesh
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_tze_tzeentch	ORIGINATOR	wh3_main_tze_tzeentch
rhox_bjornling_fighting_chaos_kislev	ORIGINATOR	wh3_main_ksl_kislev
rhox_bjornling_fighting_chaos_norsca	ORIGINATOR	wh_dlc08_nor_norsca
rhox_bjornling_fighting_chaos_warriors_of_chaos	ORIGINATOR	wh_main_chs_chaos
rhox_bjornling_fighting_fimir	ORIGINATOR	ovn_fimir
rhox_bjornling_follower_group	ORIGINATOR	wh3_main_ksl_kislev
