member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/rhox_bjornling_devotion		
rhox_bjornling_fighting_chaos_beastmen	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_chaos_dwarfs	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_dae_daemons	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_kho_khorne	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_nur_nurgle	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_argfluxs_pyrocasters	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_doombreeds_followers	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_legion_of_gorehath	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scaberaxs_gluttons	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scriveners_of_fate	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_shadow_legion	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_baleful_princes_muses	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_bloody_harvest	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_challenge_stone_pact	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_convent	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_fluxion_host	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_glothal_brood	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_pleasure_tide	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_putrid_swarm	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_sla_slaanesh	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_tze_tzeentch	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_kislev	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_norsca	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_norsca_wh3_main_rogue_kurgan_warband	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_warriors_of_chaos	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_fimir	ACTOR	wh_main_nor_bjornling
rhox_bjornling_follower_group	ACTOR	wh_main_nor_bjornling
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_argfluxs_pyrocasters	ORIGINATOR	wh3_main_rogue_argfluxs_pyrocasters
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_doombreeds_followers	ORIGINATOR	wh3_main_rogue_doombreeds_followers
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_legion_of_gorehath	ORIGINATOR	wh3_main_rogue_legion_of_gorehath
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scaberaxs_gluttons	ORIGINATOR	wh3_main_rogue_scaberaxs_gluttons
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scriveners_of_fate	ORIGINATOR	wh3_main_rogue_scriveners_of_fate
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_shadow_legion	ORIGINATOR	wh3_main_rogue_shadow_legion
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_baleful_princes_muses	ORIGINATOR	wh3_main_rogue_the_baleful_princes_muses
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_bloody_harvest	ORIGINATOR	wh3_main_rogue_the_bloody_harvest
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_challenge_stone_pact	ORIGINATOR	wh3_main_rogue_the_challenge_stone_pact
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_convent	ORIGINATOR	wh3_main_rogue_the_convent
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_fluxion_host	ORIGINATOR	wh3_main_rogue_the_fluxion_host
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_glothal_brood	ORIGINATOR	wh3_main_rogue_the_glothal_brood
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_pleasure_tide	ORIGINATOR	wh3_main_rogue_the_pleasure_tide
rhox_bjornling_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_putrid_swarm	ORIGINATOR	wh3_main_rogue_the_putrid_swarm
rhox_bjornling_fighting_chaos_norsca_wh3_main_rogue_kurgan_warband	ORIGINATOR	wh3_main_rogue_kurgan_warband
