member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/rhox_geimdall_devotion		
rhox_geimdall_fighting_chaos_beastmen	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_chaos_dwarfs	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_dae_daemons	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_kho_khorne	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_nur_nurgle	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_argfluxs_pyrocasters	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_doombreeds_followers	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_legion_of_gorehath	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scaberaxs_gluttons	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scriveners_of_fate	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_shadow_legion	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_baleful_princes_muses	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_bloody_harvest	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_challenge_stone_pact	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_convent	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_fluxion_host	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_glothal_brood	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_pleasure_tide	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_putrid_swarm	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_sla_slaanesh	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_tze_tzeentch	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_kislev	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_norsca	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_norsca_wh3_main_rogue_kurgan_warband	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_warriors_of_chaos	ACTOR	mixer_nor_geimdall_huscarls
rhox_bjornling_fighting_fimir	ACTOR	mixer_nor_geimdall_huscarls
rhox_bjornling_follower_group	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_argfluxs_pyrocasters	ORIGINATOR	wh3_main_rogue_argfluxs_pyrocasters
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_doombreeds_followers	ORIGINATOR	wh3_main_rogue_doombreeds_followers
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_legion_of_gorehath	ORIGINATOR	wh3_main_rogue_legion_of_gorehath
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scaberaxs_gluttons	ORIGINATOR	wh3_main_rogue_scaberaxs_gluttons
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_scriveners_of_fate	ORIGINATOR	wh3_main_rogue_scriveners_of_fate
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_shadow_legion	ORIGINATOR	wh3_main_rogue_shadow_legion
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_baleful_princes_muses	ORIGINATOR	wh3_main_rogue_the_baleful_princes_muses
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_bloody_harvest	ORIGINATOR	wh3_main_rogue_the_bloody_harvest
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_challenge_stone_pact	ORIGINATOR	wh3_main_rogue_the_challenge_stone_pact
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_convent	ORIGINATOR	wh3_main_rogue_the_convent
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_fluxion_host	ORIGINATOR	wh3_main_rogue_the_fluxion_host
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_glothal_brood	ORIGINATOR	wh3_main_rogue_the_glothal_brood
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_pleasure_tide	ORIGINATOR	wh3_main_rogue_the_pleasure_tide
rhox_geimdall_fighting_chaos_daemons_of_chaos_wh3_main_rogue_the_putrid_swarm	ORIGINATOR	wh3_main_rogue_the_putrid_swarm
rhox_geimdall_fighting_chaos_norsca_wh3_main_rogue_kurgan_warband	ORIGINATOR	wh3_main_rogue_kurgan_warband
