member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/scm_norsca		
rhox_aesling_feature_group	ACTOR	wh_main_nor_aesling
rhox_baersonling_feature_group	ACTOR	wh_main_nor_baersonling
rhox_baersonling_high_wom	ACTOR	wh_main_nor_baersonling
rhox_baersonling_marauder_chieftain_initiatives	ACTOR	wh_main_nor_baersonling
rhox_baersonling_marauder_chieftain_boons	ACTOR	wh_main_nor_baersonling
rhox_bjornling_feature_group	ACTOR	wh_main_nor_bjornling
rhox_sayl_feature_group	ACTOR	wh3_dlc20_nor_dolgan
rhox_baersonling_tze_chaos_lord_initiatives	ACTOR	wh_main_nor_baersonling
rhox_baersonling_tze_chaos_lord_boons	ACTOR	wh_main_nor_baersonling
rhox_baersonling_daemon_prince_boons	ACTOR	wh_main_nor_baersonling
rhox_sarg_feature	ACTOR	wh3_dlc20_nor_yusak
rhox_aesling_colonise_group	ACTOR	wh_main_nor_aesling
rhox_bjornling_fishing_stance	ACTOR	wh_main_nor_bjornling
rhox_bjornling_occupation_group	ACTOR	wh_main_nor_bjornling
packlord_hunter_traits_packlord	ACTOR	wh_dlc08_nor_naglfarlings
packlord_hunter_traits_scm_norsca_huern	ACTOR	wh_dlc08_nor_naglfarlings
rhox_varg_climate_desert	ACTOR	wh_main_nor_varg
hkrul_geimdall_occupation_group	ACTOR	mixer_nor_geimdall_huscarls
rhox_geimdall_feature_group	ACTOR	mixer_nor_geimdall_huscarls
hkrul_grydal_ascend	ACTOR	mixer_nor_snaegr
hkrul_goftur_ascend	ACTOR	mixer_nor_cult_of_mermedus
rhox_totn_baersonling_occupation	ACTOR	wh_main_nor_baersonling
rhox_totn_yusak_occupation	ACTOR	wh3_dlc20_nor_yusak
rhox_totn_aesling_occupation	ACTOR	wh_main_nor_aesling
rhox_totn_snaegr_occupation	ACTOR	mixer_nor_snaegr
rhox_totn_bloodfjord_occupation	ACTOR	mixer_nor_bloodfjord
rhox_totn_geimdall_occupation	ACTOR	mixer_nor_geimdall_huscarls
rhox_totn_eyristaad_occupation	ACTOR	mixer_nor_eyristaad
rhox_totn_bjornling_occupation	ACTOR	wh_main_nor_bjornling
rhox_totn_feature_norsca_availability_nor_mixer_nor_beorg	ACTOR	mixer_nor_beorg
rhox_totn_feature_norsca_availability_nor_cr_nor_servants_of_mermedus	ACTOR	cr_nor_servants_of_mermedus
rhox_totn_feature_norsca_availability_nor_mixer_nor_cult_of_mermedus	ACTOR	mixer_nor_cult_of_mermedus
rhox_totn_feature_norsca_availability_nor_wh2_main_nor_skeggi	ACTOR	wh2_main_nor_skeggi
rhox_totn_feature_norsca_availability_nor_wh3_dlc20_nor_kul	ACTOR	wh3_dlc20_nor_kul
rhox_totn_feature_norsca_availability_nor_wh_dlc08_nor_vanaheimlings	ACTOR	wh_dlc08_nor_vanaheimlings
rhox_totn_feature_norsca_availability_nor_wh_main_nor_graeling	ACTOR	wh_main_nor_graeling
rhox_totn_feature_norsca_availability_nor_wh_main_nor_sarl	ACTOR	wh_main_nor_sarl
rhox_totn_feature_norsca_availability_nor_wh_main_nor_varg	ACTOR	wh_main_nor_varg
rhox_totn_feature_norsca_availability_nor_mixer_nor_fjordlings	ACTOR	mixer_nor_fjordlings
rhox_totn_feature_norsca_availability_nor_wh_main_nor_skaeling	ACTOR	wh_main_nor_skaeling
rhox_totn_feature_norsca_availability_nor_wh_dlc08_nor_naglfarlings	ACTOR	wh_dlc08_nor_naglfarlings
rhox_totn_feature_norsca_availability_nor_wh_main_nor_aesling	ACTOR	wh_main_nor_aesling
rhox_totn_feature_norsca_availability_nor_wh_main_nor_baersonling	ACTOR	wh_main_nor_baersonling
rhox_totn_feature_norsca_availability_nor_wh3_dlc20_nor_yusak	ACTOR	wh3_dlc20_nor_yusak
rhox_totn_feature_norsca_availability_nor_mixer_nor_bloodfjord	ACTOR	mixer_nor_bloodfjord
rhox_totn_feature_norsca_availability_nor_mixer_nor_snaegr	ACTOR	mixer_nor_snaegr
