attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/scm_norsca_cb_yusak	
chaos_territory	scm_fc_norsca_yusak_nor_marauder_throwing_axe
mountain	scm_fc_norsca_yusak_nor_marauder_throwing_axe
non_vampire_territory	scm_fc_norsca_yusak_nor_marauder_throwing_axe
nurgle_plague	scm_fc_norsca_yusak_nor_marauder_throwing_axe
snow	scm_fc_norsca_yusak_nor_marauder_throwing_axe
chaos_territory	scm_fc_norsca_yusak_nor_marauder_javelins
mountain	scm_fc_norsca_yusak_nor_marauder_javelins
non_vampire_territory	scm_fc_norsca_yusak_nor_marauder_javelins
nurgle_plague	scm_fc_norsca_yusak_nor_marauder_javelins
snow	scm_fc_norsca_yusak_nor_marauder_javelins
chaos_territory	scm_fc_norsca_yusak_nor_marauder_spear
mountain	scm_fc_norsca_yusak_nor_marauder_spear
non_vampire_territory	scm_fc_norsca_yusak_nor_marauder_spear
nurgle_plague	scm_fc_norsca_yusak_nor_marauder_spear
snow	scm_fc_norsca_yusak_nor_marauder_spear
chaos_territory	scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe
mountain	scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe
non_vampire_territory	scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe
nurgle_plague	scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe
snow	scm_fc_norsca_yusak_nor_marauder_horsemen_throwing_axe
chaos_territory	scm_fc_norsca_yusak_nor_marauder
mountain	scm_fc_norsca_yusak_nor_marauder
non_vampire_territory	scm_fc_norsca_yusak_nor_marauder
nurgle_plague	scm_fc_norsca_yusak_nor_marauder
snow	scm_fc_norsca_yusak_nor_marauder
chaos_territory	scm_fc_norsca_yusak_nor_marauder_great_weapons
mountain	scm_fc_norsca_yusak_nor_marauder_great_weapons
non_vampire_territory	scm_fc_norsca_yusak_nor_marauder_great_weapons
nurgle_plague	scm_fc_norsca_yusak_nor_marauder_great_weapons
snow	scm_fc_norsca_yusak_nor_marauder_great_weapons
