group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;2;db/cdir_military_generator_unit_qualities_tables/scm_norsca		
wh3_default_land_ranged_infantry_main_light_skirmisher	hkrul_sarl_hunters	tier_3_step_1_units
wh3_default_land_ranged_infantry_main_light_skirmisher	hkrul_sarl_hunters_ror	tier_3_step_4_units
wh3_default_land_flying	calm_fc_norsca_raven	tier_1_step_2_units
wh3_default_land_monsters_flanking	hkrul_drenok_wolf	tier_2_step_5_units
wh3_default_land_monsters_flanking_strong	dead_drenok_ice_golem	tier_2_step_5_units
wh3_default_land_monsters_heavy	dead_drenok_greater_ice_golem	tier_5_units
wh3_default_land_monsters_flanking_strong	rhox_graeling_werekin_of_fijgard	tier_4_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	wolftribe_nor_inf_wolfguard_honorguard	tier_4_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	wolftribe_nor_inf_wolf_champions_ror_0	tier_4_rors
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_bjornling_huscarl	tier_3_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_bjornling_huscarl_ror	tier_4_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_graeling_champion	tier_3_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_kurgan_champion	tier_3_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_baersonling_champion	tier_3_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_aesling_berserker	tier_2_step_5_units
wh3_default_land_melee_infantry_main_frontline_spears	rhox_kurgan_spearman	tier_2_step_2_units
wh3_default_land_ranged_infantry_main_light_skirmisher	rhox_kurgan_javelin	tier_2_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_skeggi_champion	tier_3_step_3_units
wh3_default_land_melee_infantry_trash_spears	rhox_yusak_devoted_marauders	tier_2_step_3_units
wh3_default_land_monsters_heavy	r1kko_adella_kho_bastiladon	tier_2_step_2_units
wh3_default_land_monsters_heavy	r1kko_adella_nur_bastiladon	tier_2_step_2_units
wh3_default_land_monsters_heavy	r1kko_adella_sla_bastiladon	tier_2_step_2_units
wh3_default_land_monsters_heavy	r1kko_adella_tze_bastiladon	tier_2_step_2_units
wh3_default_land_monsters_heavy	r1kko_adella_kho_carnosaur	tier_4_step_1_units
wh3_default_land_monsters	hkrul_nightmav	tier_3_step_2_units
wh3_default_land_monsters_heavy	r1kko_adella_nur_stegadon	tier_3_step_1_units
wh3_default_land_monsters_heavy	r1kko_adella_sla_troglodon	tier_4_step_2_units
wh3_default_land_flying_light_main	r1kko_adella_tze_coatl	tier_4_step_3_units
wh3_default_land_melee_cavalry_main_mounted_medium	rhox_skeggi_dodvakt	tier_3_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_drenok_marauder	tier_2_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_wolftribe_marauder	tier_2_step_3_units
wh3_default_land_monsters_flanking	hkrul_birna_river_trolls	tier_2_step_5_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_bjornling_maneater	tier_3_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_bjornling_maneater_ironfist	tier_3_step_5_units
wh3_default_land_melee_infantry_main_frontline_spears	rhox_bjornling_maneater_great_weapon	tier_4_step_1_units
wh3_default_land_ranged_cavalry_mounted	wh_mod_nor_veh_mammoth_siege_tower_0	tier_5_units
wh3_default_land_ranged_cavalry_mounted	wh_mod_nor_veh_war_wagon_0	tier_2_step_4_units
wh3_default_land_melee_infantry_main_flanking	hkrul_norsca_ymir	tier_3_step_2_units
wh3_default_land_melee_infantry_main_flanking	hkrul_norsca_ymir_ror	tier_4_step_2_units
wh3_default_land_monsters_flanking	hkrul_bear_summon	tier_2_step_4_units
wh3_default_land_monsters_flanking	dead_drenok_ice_bears	tier_2_step_4_units
wh3_default_land_monsters_heavy	hkrul_skeggi_giant_ror	tier_3_step_5_units
wh3_default_land_melee_cavalry_main_mounted_medium	wh_mod_nor_cav_cold_one_riders_def	tier_3_step_2_units
wh3_default_land_ranged_infantry_trash	wh_mod_nor_dwf_inf_sappers	tier_1_step_5_units
