character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_akkorak				
hkrul_akkorak_special_0_2	wh_main_effect_force_all_campaign_recruitment_cost_all	1	general_to_force_own	-10.0000
hkrul_akkorak_special_0_1	wh_main_effect_force_all_campaign_raid_income	1	general_to_force_own	25.0000
hkrul_akkorak_special_0_1	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	character_to_character_own	25.0000
hkrul_akkorak_special_1_0	wh_main_effect_character_stat_unit_health	1	character_to_character_own	20.0000
hkrul_akkorak_special_1_0	wh_main_effect_public_order_base	1	character_to_region_own	4.0000
hkrul_akkorak_special_1_1	wh3_main_effect_corruption_chaos_characters	1	character_to_character_own_provincetext	3.0000
hkrul_akkorak_special_1_1	wh_main_effect_character_stat_aura_leadership_effect	1	character_to_character_own	10.0000
hkrul_akkorak_special_1_2	wh_main_effect_character_stat_leadership_aura_size_attacking	1	character_to_character_own	50.0000
hkrul_akkorak_special_1_2	wh2_dlc11_effect_force_stat_missile_damage_nor_marauder_hunters_marauder_horsemen	1	general_to_force_own	10.0000
hkrul_akkorak_special_1_3	wh_dlc08_effect_agent_recruitment_xp_dignitary_norsca	1	character_to_province_own	3.0000
hkrul_akkorak_special_1_4	wh2_dlc15_effect_magic_metal_reduce_wom_cost_all	1	character_to_force_own_factionwide	-3.0000
hkrul_akkorak_special_1_4	wh_main_effect_ability_cooldown_lore_of_metal	1	character_to_force_own_factionwide	-10.0000
hkrul_akkorak_special_1_5	wh_main_effect_character_stat_melee_attack	1	character_to_character_own	20.0000
hkrul_akkorak_special_1_5	wh_main_effect_attribute_enable_causes_terror	1	character_to_character_own	1.0000
innate_hkrul_akkorak	hkrul_enable_immortality	1	character_to_character_own	1.0000
innate_hkrul_akkorak	hkrul_akkorak_horse	1	character_to_force_own_unseen	1.0000
innate_hkrul_akkorak	hkrul_akkorak_horse_xp	1	general_to_force_own	3.0000
