character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_berus				
hkrul_berus_agent_actions	wh2_dlc11_effect_agent_action_enable_champion_hinder_settlement_treasure_hunt	1	character_to_character_own	1.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_enable_champion_assist_army_training	1	character_to_character_own	1.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate	1	character_to_character_own	1.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units	1	character_to_character_own	1.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_settlement_assault_garrison	1	character_to_character_own	1.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_enable_champion_passive_stimulate_growth	1	character_to_character_own	1.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative	1	character_to_enemy_province	-10.0000
hkrul_berus_agent_actions	wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive	1	character_to_province_own	10.0000
hkrul_berus_special_1_0	wh_main_effect_force_stat_leadership	1	agent_to_parent_army_own	5.0000
hkrul_berus_special_1_0	hkrul_berus_eye	1	character_to_character_own	1.0000
hkrul_berus_special_1_1	wh_dlc08_effect_ability_enable_berserk	1	character_to_character_own	1.0000
hkrul_berus_special_1_1	wh_main_effect_character_stat_melee_defence	1	character_to_character_own	10.0000
hkrul_berus_special_1_2	wh_main_effect_character_stat_magic_resistance	1	character_to_character_own	15.0000
hkrul_berus_special_1_2	wh2_main_effect_force_stat_weapon_strength_vs_chaos_norsca	1	agent_to_parent_army_own	5.0000
hkrul_berus_special_1_3	wh_main_effect_character_stat_ward_save	1	character_to_character_own	5.0000
hkrul_berus_special_1_3	wh_main_effect_character_stat_bonus_vs_infantry	1	character_to_character_own	15.0000
hkrul_berus_special_1_4	wh2_dlc10_effect_force_stat_melee_attack_vs_chaos_norsca_beastmen	1	agent_to_parent_army_own	4.0000
hkrul_berus_special_1_4	wh_main_effect_character_stat_ap_damage	1	character_to_character_own	25.0000
hkrul_berus_special_1_5	wh3_main_effect_corruption_chaos_characters	1	character_to_province_any	3.0000
hkrul_berus_special_1_5	wh_main_effect_force_stat_leadership_enemy_unit	1	character_to_force_enemy_regionwide	-5.0000
hkrul_berus_special_1_6	wh_main_effect_attribute_enable_causes_terror	1	character_to_character_own	1.0000
hkrul_berus_special_1_6	hkrul_berus_axe	1	character_to_character_own	1.0000
innate_hkrul_berus	hkrul_enable_immortality	1	character_to_character_own	1.0000
innate_hkrul_berus	wh3_main_faction_political_diplomacy_mod_khorne	1	character_to_faction_unseen	10.0000
innate_hkrul_berus	wh3_main_effect_character_stat_melee_attack_vs_nurgle	1	character_to_character_own	10.0000
