character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_haraldur				
hkrul_haraldur_agent_actions	wh2_dlc11_effect_agent_action_enable_champion_hinder_settlement_treasure_hunt	1	character_to_character_own	1.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_enable_champion_assist_army_training	1	character_to_character_own	1.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate	1	character_to_character_own	1.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units	1	character_to_character_own	1.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_settlement_assault_garrison	1	character_to_character_own	1.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_enable_champion_passive_stimulate_growth	1	character_to_character_own	1.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative	1	character_to_enemy_province	-10.0000
hkrul_haraldur_agent_actions	wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive	1	character_to_province_own	10.0000
hkrul_haraldur_special_1_0	wh_main_effect_province_growth_characters	1	character_to_province_own	20.0000
hkrul_haraldur_special_1_0	wh_main_effect_region_resource_beer_production	1	character_to_region_own	3.0000
hkrul_haraldur_special_1_1	wh3_main_effect_attribute_enable_charge_reflection	1	character_to_character_own	1.0000
hkrul_haraldur_special_1_1	wh_main_effect_character_stat_armour	1	character_to_character_own	15.0000
hkrul_haraldur_special_1_2	hkrul_spearmen_bvl	1	agent_to_parent_army_own	6.0000
hkrul_haraldur_special_1_2	hkrul_spearmen_md	1	agent_to_parent_army_own	10.0000
hkrul_haraldur_special_1_3	wh3_dlc20_effect_attribute_immune_to_contact_stat_effects	1	agent_to_parent_army_general_own	10.0000
hkrul_haraldur_special_1_3	wh_main_effect_character_stat_unit_health	1	agent_to_parent_army_general_own	10.0000
hkrul_haraldur_special_1_4	wh_main_effect_character_stat_ap_damage	1	character_to_character_own	30.0000
hkrul_haraldur_special_1_4	wh_main_effect_character_stat_weapon_strength	1	character_to_character_own	10.0000
hkrul_haraldur_special_1_5	wh_main_effect_attribute_enable_expert_charge_defence	1	character_to_character_own	1.0000
hkrul_haraldur_special_1_5	wh_main_effect_force_army_campaign_siege_defend_attrition_bad	1	character_to_force_enemy_regionwide	10.0000
hkrul_haraldur_special_1_6	hkrul_haraldur_rally	1	character_to_character_own	1.0000
hkrul_haraldur_special_1_6	hkrul_haraldur_ror_unyielding_assault	1	agent_to_parent_army_own	1.0000
innate_hkrul_haraldur	hkrul_enable_immortality	1	character_to_character_own	1.0000
innate_hkrul_haraldur	hkrul_haraldur_disciplined	1	agent_to_parent_army_own	1.0000
innate_hkrul_haraldur	hkrul_norsca_bjornling_huscarl_cap	1	character_to_faction	1.0000
hkrul_haraldur_special_0_1	hkrul_norscan_ogres_speed	1	agent_to_parent_army_own	15.0000
hkrul_haraldur_special_0_1	hkrul_norscan_ogres_melee_attack	1	agent_to_parent_army_own	12.0000
