character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_kolsveinn				
innate_hkrul_kolsveinn	hkrul_enable_immortality	1	character_to_character_own	1.0000
innate_hkrul_kolsveinn	hkrul_kolsvein_spit	1	character_to_character_own	1.0000
innate_hkrul_kolsveinn	wh_main_effect_character_stat_speed	1	character_to_character_own	10.0000
hkrul_kolsvein_special_1_0	wh_main_effect_character_stat_leadership_vs_chaos	1	character_to_character_own	15.0000
hkrul_kolsvein_special_1_0	wh_main_effect_character_stat_bonus_vs_infantry	1	agent_to_parent_army_own	3.0000
hkrul_kolsvein_special_1_1	wh_main_effect_character_stat_ap_damage	1	character_to_character_own	10.0000
hkrul_kolsvein_special_1_1	wh_main_effect_character_stat_missile_resistance	1	character_to_character_own	10.0000
hkrul_kolsvein_special_1_2	wh_dlc08_effect_force_stat_melee_attack_norscan_giants	1	agent_to_parent_army_own	5.0000
hkrul_kolsvein_special_1_2	wh_dlc08_effect_force_stat_melee_defence_norscan_giants	1	agent_to_parent_army_own	5.0000
hkrul_kolsvein_special_1_3	wh_main_effect_attribute_enable_strider	1	character_to_character_own	1.0000
hkrul_kolsvein_special_1_3	wh_main_effect_attribute_enable_vanguard_deployment	1	character_to_character_own	1.0000
hkrul_kolsvein_special_1_4	wh_main_effect_force_all_campaign_captives	1	agent_to_parent_army_own	10.0000
hkrul_kolsvein_special_1_4	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	agent_to_parent_army_general_own	10.0000
hkrul_kolsvein_special_1_5	hkrul_kolsvein_sword	1	character_to_character_own	1.0000
hkrul_kolsvein_special_1_5	wh_main_effect_character_stat_speed	1	character_to_character_own	5.0000
