character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_rafn				
innate_hkrul_rafn	wh_main_effect_character_stat_bonus_vs_large	1	character_to_character_own	15.0000
innate_hkrul_rafn	hkrul_enable_immortality	1	character_to_character_own	1.0000
hkrul_rafn_special_1_0	wh2_dlc11_effect_force_stat_melee_attack_nor_marauders_spearmen_berserkers_champions	1	agent_to_parent_army_own	5.0000
hkrul_rafn_special_1_0	wh2_dlc11_effect_force_stat_weapon_strength_nor_marauders_spearmen_berserkers_champions	1	agent_to_parent_army_own	10.0000
hkrul_rafn_special_1_1	wh_main_effect_character_stat_unit_health	1	character_to_character_own	15.0000
hkrul_rafn_special_1_1	wh3_main_effect_character_stat_unit_mass_percentage_mod	1	character_to_character_own	15.0000
hkrul_rafn_special_1_2	hkrul_rafn_axe	1	character_to_character_own	1.0000
hkrul_rafn_special_1_3	wh_main_effect_force_all_campaign_replenishment_rate	1	agent_to_parent_army_own	15.0000
hkrul_rafn_special_1_3	wh_main_effect_character_mod_ancillary_drop	1	character_to_force_own_unseen	15.0000
hkrul_rafn_special_1_4	wh_main_effect_character_stat_armour	1	character_to_character_own	20.0000
hkrul_rafn_special_1_4	wh_main_effect_character_stat_magic_resistance	1	character_to_character_own	10.0000
hkrul_rafn_special_1_5	wh_main_effect_character_stat_ap_damage	1	character_to_character_own	15.0000
hkrul_rafn_special_1_5	wh_main_effect_attribute_enable_causes_fear	1	character_to_character_own	1.0000
