character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/scm_norsca_confederation				
innate_hkrul_adella	rhox_adella_confederation_effect	1	character_to_force_enemy_provincewide	2.0000
innate_hkrul_sayl	rhox_sayl_confederation_effect	1	character_to_force_own_unseen	2.0000
innate_hkrul_birna	rhox_birna_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_akkorak	rhox_akkorak_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_harald	rhox_harald_confederation_effect	1	character_to_force_own	3.0000
innate_hkrul_einar	rhox_einar_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_drenok	rhox_drenok_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_ulfric	rhox_ulfric_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_hakka	rhox_hakka_confederation_effect	1	character_to_force_own	2.0000
wh_dlc08_skill_innate_nor_wulfrik	rhox_wulfric_confederation_effect	1	character_to_force_own	1.0000
wh_dlc08_skill_innate_nor_throgg	rhox_throgg_confederation_effect	1	character_to_force_own	1.0000
innate_hkrul_beorg	rhox_beorg_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_vroth	rhox_hroth_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_thorgar	rhox_thorgar_confederation_effect	1	character_to_region_own_provincewide	2.0000
innate_hkrul_valbrand	rhox_valbrand_confederation_effect	1	character_to_force_own	1.0000
innate_hkrul_volrik	rhox_volrik_confederation_effect	1	character_to_force_own	2.0000
innate_hkrul_sarg	rhox_sarg_confederation_effect	1	character_to_force_own	5.0000
innate_hkrul_surtha_ek	rhox_varg_confederation_effect	1	character_to_force_own	5.0000
