character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/wolftribe_rana				
wolftribe_skill_self_healers_touch	wh3_main_effect_ability_enable_bound_earth_blood	1	character_to_character_own	1.0000
wolftribe_skill_self_hunters_traps	wh2_dlc13_ability_enable_hunter_snare_0	1	character_to_character_own	1.0000
wolftribe_skill_unique_resourceful_huntress	wh_main_effect_force_stat_ammunition	1	general_to_force_own	25.0000
wolftribe_skill_scm_norsca_asta_mount_gjalfr	wolftribe_effect_enable_mount_gjalfr	1	character_to_character_own	1.0000
wolftribe_skill_unique_vengeful_daughter	wh_dlc08_effect_ability_enable_frenzy	1	character_to_character_own	1.0000
wolftribe_skill_unique_vengeful_daughter	wh_dlc03_effect_force_stat_leadership_vs_bretonnia	1	character_to_character_own	10.0000
wolftribe_skill_unique_vengeful_daughter	wh2_dlc17_bonus_melee_attack_fighting_against_bretonnia	1	character_to_character_own	5.0000
wolftribe_skill_unique_vengeful_daughter	wolftribe_bonus_melee_defence_fighting_against_bretonnia	1	character_to_character_own	5.0000
wolftribe_skill_unique_scm_norsca_asta_of_the_wood	wh_main_effect_character_stat_ward_save	1	character_to_character_own	5.0000
wolftribe_skill_unique_scm_norsca_asta_of_the_wood	wh_main_effect_character_stat_weapon_strength	1	character_to_character_own	10.0000
wolftribe_skill_self_fierce_beauty	wh_main_faction_political_diplomacy_mod_norsca	1	character_to_faction_unseen	35.0000
wolftribe_skill_self_fierce_beauty	wh3_dlc20_effect_allegiance_points_mod_norsca	1	character_to_faction_unseen	25.0000
wolftribe_skill_self_fierce_beauty	wh_main_effect_force_stat_leadership	1	agent_to_parent_army_own	5.0000
wolftribe_skill_self_fierce_beauty	wh_main_effect_public_order_characters	1	character_to_province_own	5.0000
wolftribe_skill_self_keen_minded_ruler	wh_main_effect_force_all_campaign_upkeep	1	agent_to_parent_army_own	-10.0000
wolftribe_skill_self_keen_minded_ruler	wolftribe_recruit_rank_all	1	agent_to_parent_army_own	1.0000
wolftribe_skill_self_keen_minded_ruler	wh_main_effect_force_all_campaign_recruitment_cost_all	1	agent_to_parent_army_own	-10.0000
wolftribe_skill_self_scm_norsca_asta_honorguard	wolftribe_enable_summon_champions	1	character_to_character_own	1.0000
wolftribe_skill_self_chieftess_of_wolves	wh_main_effect_force_stat_melee_attack	1	agent_to_parent_army_own	10.0000
wolftribe_skill_self_chieftess_of_wolves	wh_main_effect_force_stat_melee_defence	1	agent_to_parent_army_own	10.0000
wolftribe_skill_self_chieftess_of_wolves	wh_main_effect_force_stat_leadership	1	agent_to_parent_army_own	5.0000
wolftribe_skill_self_chieftess_of_wolves	wh_main_effect_force_stat_ward_save	1	agent_to_parent_army_own	5.0000
wolftribe_skill_innate_foresters_daughter	wh2_dlc16_effect_ability_enable_hawkish_precision	1	character_to_character_own	1.0000
wolftribe_skill_innate_foresters_daughter	wh_main_effect_character_stat_range	1	character_to_character_own	15.0000
wolftribe_skill_innate_foresters_daughter	wh_main_effect_character_stat_missile_damage	1	character_to_character_own	25.0000
wolftribe_skill_innate_foresters_daughter	wh2_main_effect_grant_immortality_hero	1	character_to_character_own	1.0000
wolftribe_skill_dummy_actions_scm_norsca_asta	wh2_dlc16_effect_agent_action_enable_dignitary_assist_army_enhance_mobility	1	character_to_character_own	1.0000
wolftribe_skill_dummy_actions_scm_norsca_asta	wh2_dlc16_effect_agent_action_enable_dignitary_hinder_army_damage_unit	1	character_to_character_own	1.0000
wolftribe_skill_dummy_actions_scm_norsca_asta	wh2_dlc16_effect_agent_action_enable_dignitary_passive_boost_income	1	character_to_character_own	1.0000
wolftribe_skill_dummy_actions_scm_norsca_asta	wh2_main_effect_agent_action_enable_dignitary_hinder_agent_wound	1	character_to_character_own	1.0000
wolftribe_skill_dummy_actions_scm_norsca_asta	wh2_main_effect_agent_action_enable_champion_assist_army_training	1	character_to_character_own	1.0000
wolftribe_skill_dummy_actions_scm_norsca_asta	wh2_main_effect_agent_action_enable_dignitary_hinder_settlement_scout_settlement	1	character_to_character_own	1.0000
wolftribe_skill_scm_norsca_asta_dummy	wh2_dlc13_ability_enable_kill_shot_0	1	character_to_character_own	1.0000
