child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/wolftribe_huern							
scm_norsca_huern_node_battle_02	scm_norsca_huern_node_battle_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_03	scm_norsca_huern_node_battle_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_04	scm_norsca_huern_node_battle_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_05	scm_norsca_huern_node_battle_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_06	scm_norsca_huern_node_battle_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_07	scm_norsca_huern_node_battle_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_08	scm_norsca_huern_node_battle_02	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_08	scm_norsca_huern_node_battle_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_08	scm_norsca_huern_node_battle_04	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_08	scm_norsca_huern_node_battle_05	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_08	scm_norsca_huern_node_battle_06	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_08	scm_norsca_huern_node_battle_07	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_09	scm_norsca_huern_node_battle_08	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_10	scm_norsca_huern_node_battle_08	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_11	scm_norsca_huern_node_battle_08	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_12	scm_norsca_huern_node_battle_08	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_battle_13	scm_norsca_huern_node_battle_09	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_14	scm_norsca_huern_node_battle_09	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_13	scm_norsca_huern_node_battle_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_14	scm_norsca_huern_node_battle_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_13	scm_norsca_huern_node_battle_11	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_14	scm_norsca_huern_node_battle_11	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_13	scm_norsca_huern_node_battle_12	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_battle_14	scm_norsca_huern_node_battle_12	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_02	scm_norsca_huern_node_campaign_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_03	scm_norsca_huern_node_campaign_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_04	scm_norsca_huern_node_campaign_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_05	scm_norsca_huern_node_campaign_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_06	scm_norsca_huern_node_campaign_02	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_06	scm_norsca_huern_node_campaign_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_06	scm_norsca_huern_node_campaign_04	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_06	scm_norsca_huern_node_campaign_05	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_07	scm_norsca_huern_node_campaign_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_08	scm_norsca_huern_node_campaign_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_09	scm_norsca_huern_node_campaign_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_10	scm_norsca_huern_node_campaign_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_node_campaign_11	scm_norsca_huern_node_campaign_07	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_11	scm_norsca_huern_node_campaign_08	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_11	scm_norsca_huern_node_campaign_09	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_node_campaign_11	scm_norsca_huern_node_campaign_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_02	scm_norsca_huern_self_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_03	scm_norsca_huern_self_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_04	scm_norsca_huern_self_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_05	scm_norsca_huern_self_01	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_06	scm_norsca_huern_self_02	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_06	scm_norsca_huern_self_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_06	scm_norsca_huern_self_04	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_06	scm_norsca_huern_self_05	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_07	scm_norsca_huern_self_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_08	scm_norsca_huern_self_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_09	scm_norsca_huern_self_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_10	scm_norsca_huern_self_06	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_self_11	scm_norsca_huern_self_07	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_11	scm_norsca_huern_self_08	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_11	scm_norsca_huern_self_09	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_self_11	scm_norsca_huern_self_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_unique_03	scm_norsca_huern_unique_02	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_unique_04	scm_norsca_huern_unique_02	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_unique_05	scm_norsca_huern_unique_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_unique_05	scm_norsca_huern_unique_04	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_unique_06	scm_norsca_huern_unique_05	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_unique_07	scm_norsca_huern_unique_05	0	1	1	0.0000	0.0000	REQUIRED
scm_norsca_huern_unique_08	scm_norsca_huern_unique_06	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
scm_norsca_huern_unique_08	scm_norsca_huern_unique_07	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
