key	agent_key	for_army	for_navy	faction_key	campaign_key	subculture	agent_subtype_key
#character_skill_node_sets_tables;0;db/character_skill_node_sets_tables/scm_norsca							
skill_node_set_hkrul_adella	general	false	false				hkrul_adella
skill_node_set_hkrul_soren	wizard	false	false				hkrul_soren
skill_node_set_hkrul_akkorak	general	false	false				hkrul_akkorak
skill_node_set_hkrul_birna	general	false	false				hkrul_birna
skill_node_set_hkrul_drenok	general	false	false				hkrul_drenok
skill_node_set_hkrul_einar	general	false	false				hkrul_einar
skill_node_set_hkrul_harald	general	false	false				hkrul_harald
skill_node_set_hkrul_sayl	general	false	false				hkrul_sayl
skill_node_set_hkrul_ulfric	general	false	false				hkrul_ulfric
skill_node_set_hkrul_verdandi	champion	false	false				hkrul_verdandi
skill_node_set_hkrul_kolsveinn	champion	false	false				hkrul_kolsveinn
skill_node_set_hkrul_swyrd	champion	false	false				hkrul_swyrd
skill_node_set_hkrul_lokjar	champion	false	false				hkrul_lokjar
skill_node_set_hkrul_hakka	general	false	false				hkrul_hakka
skill_node_set_hkrul_oda	champion	false	false				hkrul_oda
skill_node_set_hkrul_hrothgar	general	false	false				hkrul_hrothgar
skill_node_set_hkrul_rafn	champion	false	false				hkrul_rafn
rhox_baersonling_daemon_prince_tzeentch	general	false	false				rhox_baersonling_daemon_prince_tzeentch
rhox_baersonling_chs_lord_mtze	general	false	false				rhox_baersonling_chs_lord_mtze
skill_node_set_hkrul_surtha_ek	general	false	false				hkrul_surtha_ek
skill_node_set_hkrul_uzul	champion	false	false				hkrul_uzul
skill_node_set_hkrul_sarg	general	false	false				hkrul_sarg
nor_skin_wolf_lord_nodeset	general	false	false				nor_skin_wolf_lord
rafford_nodeset	general	false	false				rafford_01
wolftribe_arngrim_skills	champion	false	false				arngrim_01
wolftribe_skill_node_set_rana	dignitary	false	false				rana_01
wolftribe_skill_node_set_shaman_hero	wizard	false	false				wolffather_01
