key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/ab_wolftribe_new									
nor_skin_wolf_lord_innate_01		wh2_main_skill_innate_chs_diabolic_spendour		6	0		0	0	false
nor_skin_wolf_lord_innate_03		wh2_main_skill_innate_all_fleet_footed		6	2		0	0	false
nor_skin_wolf_lord_innate_04		wh2_main_skill_innate_all_cunning		6	3		0	0	false
nor_skin_wolf_lord_innate_05		wh2_main_skill_innate_all_determined		6	4		0	0	false
nor_skin_wolf_lord_innate_06		wh2_main_skill_innate_all_confident		6	5		0	0	false
nor_skin_wolf_lord_innate_07		wh2_main_skill_innate_all_disciplined		6	6		0	0	false
nor_skin_wolf_lord_innate_08		wh2_main_skill_innate_all_perceptive		6	7		0	0	false
nor_skin_wolf_lord_innate_09		wh2_main_skill_innate_all_aggressive		6	8		0	0	false
nor_skin_wolf_lord_innate_10		wh2_main_skill_innate_all_tough		6	9		0	0	false
nor_skin_wolf_lord_innate_13		wh2_main_skill_innate_all_strong		6	12		0	0	false
nor_skin_wolf_lord_innate_14		wh2_main_skill_innate_all_weapon_master		6	13		0	0	false
nor_skin_wolf_lord_innate_15		wh2_main_skill_innate_all_strategist		6	14		0	0	false
nor_skin_wolf_lord_innate_16		wh2_main_skill_innate_all_tactician		6	15		0	0	false
nor_skin_wolf_lord_innate_17		wh_main_skill_innate_all_sanguine		6	16		0	0	false
nor_skin_wolf_lord_innate_18		wh_main_skill_innate_all_scar_disfiguring		6	17		0	0	false
nor_skin_wolf_lord_innate_19		wh_main_skill_innate_all_scar_distinguishing		6	18		0	0	false
nor_skin_wolf_lord_innate_20		wh_main_skill_innate_all_sneaky		6	19		0	0	false
nor_skin_wolf_lord_innate_21		wh_main_skill_innate_all_stupid		6	20		0	0	false
nor_skin_wolf_lord_innate_22		wh_main_skill_innate_all_uncompromising		6	21		0	0	false
nor_skin_wolf_lord_innate_23		wh_main_skill_innate_chs_diabolic_spendour		6	22		0	0	false
nor_skin_wolf_lord_unique_01		wh_dlc08_skill_nor_lords_unique_aura_of_chaos		0	60		0	0	true
nor_skin_wolf_lord_unique_02		wh_dlc08_skill_nor_skin_wolf_werekin_unique_razor_claws		0	61		0	0	true
nor_skin_wolf_lord_unique_03		wh_dlc08_skill_nor_skin_wolf_werekin_unique_hardened_skin		0	62		0	0	true
nor_skin_wolf_lord_unique_04		wh2_main_skill_all_immortality_lord		0	63		0	0	true
nor_skin_wolf_lord_unique_05		wh_main_skill_chs_lord_battle_voice_of_the_dark_gods		0	64		0	0	true
nor_skin_wolf_lord_mentor		wh3_main_skill_all_mentor_lord		0	65		0	0	true
nor_skin_wolf_lord_self_c_01		wh_dlc08_skill_nor_skin_wolf_werekin_self_dark_horror		2	0		0	0	true
nor_skin_wolf_lord_self_c_02		wh_main_skill_all_all_self_devastating_charge		2	1		0	0	true
nor_skin_wolf_lord_self_c_03		wh_main_skill_all_all_self_thick-skinned		2	2		0	0	true
nor_skin_wolf_lord_self_c_04		wh_main_skill_all_all_self_hard_to_hit		2	3		0	0	true
nor_skin_wolf_lord_self_c_05		wh_dlc08_skill_nor_skin_wolf_werekin_self_deadly_fangs		2	4		0	0	true
nor_skin_wolf_lord_self_c_06		wh_main_skill_all_all_self_foe-seeker		2	5		0	4	true
nor_skin_wolf_lord_self_c_07		wh_main_skill_all_all_self_wound-maker		2	6		0	0	true
nor_skin_wolf_lord_self_c_08		wh_dlc03_skill_bst_lord_unnatural_thirst		2	7		0	0	true
nor_skin_wolf_lord_self_c_09		wh_main_skill_all_all_self_indomitable		2	8		0	0	true
nor_skin_wolf_lord_self_c_10		wh_dlc08_skill_nor_lords_self_quicksilver		2	9		0	0	true
nor_skin_wolf_lord_self_c_11		wh_main_skill_all_all_self_deadly_onslaught		2	10		0	4	true
nor_skin_wolf_lord_battle_a_01		wh_dlc08_skill_nor_skin_wolf_werekin_battle_twisted_flesh		1	66		0	0	true
nor_skin_wolf_lord_battle_a_02		wh_dlc08_skill_nor_skin_wolf_werekin_battle_ruinous_flesh		1	67		0	3	true
nor_skin_wolf_lord_battle_a_03		wh_dlc08_skill_nor_skin_wolf_werekin_battle_vicious_assault		1	68		0	0	true
nor_skin_wolf_lord_battle_a_04		wh_dlc08_skill_nor_skin_wolf_werekin_battle_frenzied_assault		1	69		0	3	true
nor_skin_wolf_lord_battle_b_01		wh_main_skill_chs_lord_battle_dominating_presence		4	0		0	0	true
nor_skin_wolf_lord_battle_b_02		wh2_dlc11_skill_nor_army_buff_fearsome_warriors		4	1		0	0	true
nor_skin_wolf_lord_battle_b_03		wh2_dlc11_skill_nor_army_buff_beast_slayers		4	2		0	0	true
nor_skin_wolf_lord_battle_b_04		wh2_dlc11_skill_nor_army_buff_unnatural_selection		4	3		0	0	true
nor_skin_wolf_lord_battle_b_05		wh2_dlc11_skill_nor_army_buff_frostbitten		4	4		0	0	true
nor_skin_wolf_lord_battle_b_06		wh2_dlc11_skill_nor_army_buff_hail_of_teeth		4	5		0	0	true
nor_skin_wolf_lord_battle_b_07		wh2_dlc11_skill_nor_army_buff_monsters_of_the_north		4	6		0	0	true
nor_skin_wolf_lord_battle_b_08		wh_main_skill_all_lord_battle_rally		4	7		0	6	true
nor_skin_wolf_lord_battle_b_09		wh2_dlc11_skill_nor_army_buff_champions_of_the_north		4	8		0	0	true
nor_skin_wolf_lord_battle_b_10		wh2_dlc11_skill_nor_army_buff_hardened_hunters		4	9		0	0	true
nor_skin_wolf_lord_battle_b_11		wh2_dlc11_skill_nor_army_buff_icy_wrath		4	10		0	0	true
nor_skin_wolf_lord_battle_b_12		wh2_dlc11_skill_nor_army_buff_hulks_of_death		4	11		0	0	true
nor_skin_wolf_lord_battle_b_13		wh_dlc08_skill_nor_lord_battle_stand_or_die		4	12		0	1	true
nor_skin_wolf_lord_battle_b_14		wh_dlc08_skill_nor_lords_battle_fight_or_die		4	13		0	1	true
nor_skin_wolf_lord_campaign_01		wh_main_skill_all_lord_campaign_route_marcher		5	0		0	0	true
nor_skin_wolf_lord_campaign_02		wh_dlc08_skill_nor_lord_campaign_despoilers		5	1		0	0	true
nor_skin_wolf_lord_campaign_03		wh_main_skill_chs_lord_campaign_serve_or_die		5	2		0	0	true
