key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/hkrul_adella									
hkrul_skill_node_adella_campaign_01		wh_main_skill_all_lord_campaign_route_marcher		5	0		0	0	true
hkrul_skill_node_adella_campaign_02		wh_dlc08_skill_nor_lord_campaign_takers_of_all		5	1		0	0	true
hkrul_skill_node_adella_campaign_03		wh_main_skill_chs_lord_campaign_serve_or_die		5	2		0	0	true
hkrul_skill_node_adella_campaign_04		wh_dlc08_skill_nor_lords_campaign_norse_resilience		5	3		0	0	true
hkrul_skill_node_adella_campaign_05		wh_dlc08_skill_nor_lords_campaign_swelling_of_doom		5	4		0	0	true
hkrul_skill_node_adella_campaign_06		wh_main_skill_all_lord_campaign_lightning_strike		5	5		0	4	true
hkrul_skill_node_adella_campaign_07		wh_main_skill_chs_lord_campaign_ruination		5	6		0	0	true
hkrul_skill_node_adella_campaign_08		wh_dlc08_skill_nor_lords_campaign_savage_skills		5	7		0	0	true
hkrul_skill_node_adella_campaign_09		wh_dlc08_skill_nor_lords_campaign_unnatural_healing		5	8		0	0	true
hkrul_skill_node_adella_campaign_10		wh_dlc08_skill_nor_lords_campaign_fuelled_by_war		5	9		0	0	true
hkrul_skill_node_adella_campaign_11		wh_dlc08_skill_nor_lords_campaign_spawn_of_chaos		5	10		0	4	true
hkrul_skill_node_adella_battle_01		wh_main_skill_chs_lord_battle_dominating_presence		4	0		0	0	true
hkrul_skill_node_adella_battle_02		wh2_dlc11_skill_nor_army_buff_fearsome_warriors		4	1		0	0	true
hkrul_skill_node_adella_battle_03		wh2_dlc11_skill_nor_army_buff_beast_slayers		4	2		0	0	true
hkrul_skill_node_adella_battle_04		wh2_dlc11_skill_nor_army_buff_unnatural_selection		4	3		0	0	true
hkrul_skill_node_adella_battle_05		wh2_dlc11_skill_nor_army_buff_frostbitten		4	4		0	0	true
hkrul_skill_node_adella_battle_06		wh2_dlc11_skill_nor_army_buff_hail_of_teeth		4	5		0	0	true
hkrul_skill_node_adella_battle_07		wh2_dlc11_skill_nor_army_buff_monsters_of_the_north		4	6		0	0	true
hkrul_skill_node_adella_battle_08		wh_main_skill_all_lord_battle_rally		4	7		0	6	true
hkrul_skill_node_adella_battle_09		wh2_dlc11_skill_nor_army_buff_champions_of_the_north		4	8		0	0	true
hkrul_skill_node_adella_battle_10		wh2_dlc11_skill_nor_army_buff_hardened_hunters		4	9		0	0	true
hkrul_skill_node_adella_battle_11		wh2_dlc11_skill_nor_army_buff_icy_wrath		4	10		0	0	true
hkrul_skill_node_adella_battle_12		wh2_dlc11_skill_nor_army_buff_hulks_of_death		4	11		0	0	true
hkrul_skill_node_adella_battle_13		wh_dlc08_skill_nor_lord_battle_stand_or_die		4	12		0	1	true
hkrul_skill_node_adella_battle_14		wh_dlc08_skill_nor_lords_battle_fight_or_die		4	13		0	1	true
hkrul_skill_node_adella_unique_01		hkrul_adella_mount		0	1		0	0	true
hkrul_skill_node_adella_unique_04		wh_dlc08_skill_nor_lords_unique_eye_of_the_gods		0	4		0	0	true
hkrul_skill_node_adella_unique_05		wh_main_skill_chs_lord_battle_voice_of_the_dark_gods		0	5		0	0	true
hkrul_skill_node_adella_special_01		hkrul_adella_special_1_0		1	1		0	0	true
hkrul_skill_node_adella_special_02		hkrul_adella_special_1_1		1	2		0	0	true
hkrul_skill_node_adella_special_03		hkrul_adella_special_1_2		1	3		0	0	true
hkrul_skill_node_adella_special_04		hkrul_adella_special_1_3		1	4		0	0	true
hkrul_skill_node_adella_special_05		hkrul_adella_special_1_4		1	5		0	0	true
hkrul_skill_node_adella_special_06		hkrul_adella_special_1_5		1	6		0	4	true
hkrul_skill_node_adella_unique_06		hkrul_adella_special_0_1		0	9		0	0	true
hkrul_skill_node_adella_magic1_02		wh3_main_skill_tze_magic_tzeentch_05_fires_of_change		2	1		0	0	true
hkrul_adella_tzeentch_magic_dummy		hkrul_adella_magic_dummy_blue_fire		6	11		1	0	false
hkrul_skill_node_adella_magic1_01		wh3_main_skill_tze_magic_tzeentch_01_blue_fire_of_tzeentch_lord		2	0		0	0	true
hkrul_skill_node_adella_magic1_03		wh_main_skill_all_magic_metal_01_searing_doom		2	2		0	0	true
hkrul_skill_node_adella_magic1_04		wh3_main_skill_tze_magic_tzeentch_03_glean_magic_lord		2	3		0	0	true
hkrul_skill_node_adella_magic1_05		wh2_main_skill_all_magic_metal_02_plague_of_rust_lord		2	4		0	0	true
hkrul_skill_node_adella_magic1_07		wh_main_skill_all_magic_all_06_evasion		2	6		0	4	true
hkrul_skill_node_adella_magic1_08		wh_main_skill_all_magic_all_07_earthing		2	9		0	0	true
hkrul_skill_node_adella_magic1_09		wh_main_skill_all_magic_all_08_power_drain		2	10		0	0	true
hkrul_skill_node_adella_magic1_10		wh2_main_skill_all_magic_metal_04_glittering_robe_lord		2	7		0	0	true
hkrul_skill_node_adella_magic1_11		wh3_main_skill_tze_magic_tzeentch_07_infernal_gateway_lord		2	8		0	0	true
hkrul_skill_node_adella_magic1_12		wh_main_skill_all_magic_all_11_arcane_conduit		2	11		0	4	true
hkrul_skill_node_adella_innate		innate_hkrul_adella		6	0		1	0	false
hkrul_skill_node_adella_unique_07		hkrul_adella_special_0_2		0	7		0	0	true
hkrul_skill_node_adella_unique_08		hkrul_adella_special_0_3		0	8		0	0	true
