key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/hkrul_soren									
hkrul_skill_node_soren_special_01		hkrul_soren_special_1_0		1	1		0	0	true
hkrul_skill_node_soren_special_02		hkrul_soren_special_1_1		1	2		0	0	true
hkrul_skill_node_soren_special_03		hkrul_soren_special_1_2		1	3		0	0	true
hkrul_skill_node_soren_special_04		hkrul_soren_special_1_3		1	4		0	0	true
hkrul_skill_node_soren_special_05		hkrul_soren_special_1_4		1	5		0	0	true
hkrul_skill_node_soren_special_06		hkrul_soren_special_1_5		1	6		0	4	true
hkrul_skill_node_soren_unique_04		wh_dlc08_skill_nor_lords_unique_eye_of_the_gods		0	2		0	0	true
hkrul_skill_node_soren_unique_05		wh_main_skill_chs_lord_battle_voice_of_the_dark_gods		0	3		0	0	true
hkrul_skill_node_soren_unique_06		hkrul_soren_special_0_1		0	11		0	0	true
hkrul_skill_node_soren_unique_07		wh_dlc08_skill_nor_shaman_sorcerer_campaign_crafter_of_chaos		0	4		0	0	true
hkrul_skill_node_soren_unique_08		wh_dlc08_skill_nor_shaman_sorcerer_campaign_bounty_of_favour		0	5		0	0	true
hkrul_skill_node_soren_campaign_campaign_01		wh2_main_skill_all_hero_assist_army_scouting		5	0		0	0	true
hkrul_skill_node_soren_campaign_campaign_02		wh2_main_skill_all_hero_passive_boost_income		5	1		0	0	true
hkrul_skill_node_soren_campaign_campaign_03		wh2_main_skill_all_hero_hinder_settlement_steal_technology		5	2		0	0	true
hkrul_skill_node_soren_campaign_campaign_04		wh2_main_skill_all_hero_hinder_agent_wound		5	3		0	0	true
hkrul_skill_node_soren_campaign_campaign_05		wh2_main_skill_all_hero_hinder_army_assault_unit		5	4		0	0	true
hkrul_skill_node_soren_campaign_campaign_06		wh2_main_skill_all_hero_reduce_action_cost		5	5		0	0	true
hkrul_skill_node_soren_campaign_campaign_actions_dummy		wh2_main_skill_all_dummy_agent_actions_emp_battle_wizard		8	0		1	0	false
hkrul_skill_node_soren_magic1_01		wh2_main_skill_magic_dark_chillwind		2	1		0	0	true
hkrul_skill_node_soren_magic1_02		wh2_main_skill_magic_dark_lore_attribute		2	2		0	0	true
hkrul_skill_node_soren_magic1_03		wh_dlc03_skill_magic_beasts_panns_impenetrable_pelt		2	3		0	0	true
hkrul_skill_node_soren_magic1_04		wh2_main_skill_magic_dark_power_of_darkness		2	4		0	0	true
hkrul_skill_node_soren_magic1_05		wh_dlc03_skill_magic_beasts_flock_of_doom		2	5		0	0	true
hkrul_skill_node_soren_magic1_06		wh_main_skill_all_magic_all_06_evasion		2	6		0	4	true
hkrul_skill_node_soren_magic1_07		wh_main_skill_all_magic_all_07_earthing		2	10		0	0	true
hkrul_skill_node_soren_magic1_08		wh_main_skill_all_magic_all_08_power_drain		2	7		0	0	true
hkrul_skill_node_soren_magic1_09		wh_dlc03_skill_magic_beasts_transformation_of_kadon		2	11		0	0	true
hkrul_skill_node_soren_magic1_10		wh2_main_skill_magic_dark_doombolt		2	12		0	0	true
hkrul_skill_node_soren_magic1_11		wh_main_skill_all_magic_all_11_arcane_conduit		2	13		0	4	true
hkrul_skill_node_soren_magic1_dummy		wh2_main_skill_magic_dark_chillwind_dummy		6	11		1	0	false
hkrul_skill_node_soren_innate		innate_hkrul_soren		6	0		1	0	false
