key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/hkrul_uldsdau									
scm_norsca_uldsdau_custom_1		wolftribe_skill_self_tribal_giant		1	0		0	0	true
scm_norsca_uldsdau_custom_2		wolftribe_skill_self_berserker_champion		1	1		0	0	true
scm_norsca_uldsdau_custom_3		wolftribe_skill_self_blessing_of_the_beast		1	2		0	0	true
scm_norsca_uldsdau_custom_4		wolftribe_skill_self_jarl_slayer		1	3		0	0	true
scm_norsca_uldsdau_custom_5		wolftribe_skill_self_contest_of_skill		1	4		0	0	true
scm_norsca_uldsdau_custom_6		wolftribe_skill_self_blood_brother		1	5		0	2	true
scm_norsca_uldsdau_innate		wolftribe_skill_innate_foe_cleaver		6	0		1	0	false
scm_norsca_uldsdau_campaign_01		wh2_main_skill_all_hero_assist_army_training		5	0		0	0	true
scm_norsca_uldsdau_campaign_02		wh2_main_skill_all_hero_passive_spread_public_order		5	1		0	0	true
scm_norsca_uldsdau_campaign_03		wh2_main_skill_all_hero_hinder_settlement_assault_garrison		5	2		0	0	true
scm_norsca_uldsdau_campaign_04		wh2_main_skill_all_hero_hinder_agent_assassinate		5	3		0	0	true
scm_norsca_uldsdau_campaign_05		wh2_main_skill_all_hero_hinder_army_assault_units		5	4		0	0	true
scm_norsca_uldsdau_campaign_06		wh2_main_skill_all_hero_reduce_action_cost		5	5		0	0	true
scm_norsca_uldsdau_campaign_actions_dummy		wolftribe_skill_dummy_agent_actions_scm_norsca_uldsdau		8	0		1	0	false
scm_norsca_uldsdau_skills_unique_0		wh_main_skill_chs_all_unique_aura_of_chaos		0	0		0	0	true
scm_norsca_uldsdau_skills_unique_5		wh3_main_skill_all_mentor_hero		0	5		0	0	true
scm_norsca_uldsdau_skills_unique_1		wh_dlc08_skill_nor_skin_wolf_werekin_unique_razor_claws		0	1		0	0	true
scm_norsca_uldsdau_skills_unique_2		wh_dlc08_skill_nor_skin_wolf_werekin_unique_hardened_skin		0	2		0	0	true
scm_norsca_uldsdau_skills_unique_3		wolftribe_skill_unique_blood_berserker		0	3		0	0	true
scm_norsca_uldsdau_self_0		wh_dlc08_skill_nor_skin_wolf_werekin_self_dark_horror		2	0		0	0	true
scm_norsca_uldsdau_self_1_1		wh_main_skill_all_all_self_devastating_charge		2	1		0	0	true
scm_norsca_uldsdau_self_1_2		wh_main_skill_all_all_self_thick-skinned		2	2		0	0	true
scm_norsca_uldsdau_self_1_3		wh_main_skill_all_all_self_hard_to_hit		2	3		0	0	true
scm_norsca_uldsdau_self_1_4		wh_dlc08_skill_nor_skin_wolf_werekin_self_deadly_fangs		2	4		0	0	true
scm_norsca_uldsdau_self_2		wh_main_skill_all_all_self_foe-seeker		2	5		0	4	true
scm_norsca_uldsdau_self_3_1		wh_main_skill_all_all_self_wound-maker		2	6		0	0	true
scm_norsca_uldsdau_self_3_2		wh_dlc03_skill_bst_lord_unnatural_thirst		2	7		0	0	true
scm_norsca_uldsdau_self_3_3		wh_main_skill_all_all_self_indomitable		2	8		0	0	true
scm_norsca_uldsdau_self_3_4		wh_dlc08_skill_nor_lords_self_quicksilver		2	9		0	0	true
scm_norsca_uldsdau_self_4		wh3_dlc24_skill_all_all_self_colossal_strike		2	10		0	4	true
hkrul_uldsdau_eldur		hkrul_uldsdau_eldur		7	0		0	0	true
