key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/hkrul_asta									
wolftribe_skill_self_healers_touch	hkrul_asta_special_recipe.png		Healer's Touch	11	false	false	false	0.0000	0
wolftribe_skill_self_hunters_traps	wh2_dlc13_skill_hunters_trap.png		Hunter's Traps	0	false	false	false	0.0000	0
wolftribe_skill_self_fierce_beauty	hkrul_asta_special_feather.png		Fierce Beauty	0	false	false	false	0.0000	0
wolftribe_skill_self_keen_minded_ruler	hkrul_asta_special_saga.png		Keen-Minded Ruler	0	false	false	false	0.0000	0
wolftribe_skill_self_scm_norsca_asta_honorguard	scm_norsca_asta_honorguard.png		Asta’s Honorguard	0	false	false	false	0.0000	0
wolftribe_skill_self_chieftess_of_wolves	hkrul_asta_special_tribal.png		Chieftess of the Wolves	0	false	false	false	0.0000	0
wolftribe_skill_innate_foresters_daughter	innate_hkrul_einar.png		The Forester's Daughter	0	true	false	false	5.0000	0
wolftribe_skill_unique_vengeful_daughter	hkrul_asta_special_bret.png		Vengeful Daughter	7	false	false	false	0.0000	0
wolftribe_skill_unique_resourceful_huntress	hkrul_asta_special_hunt.png		Resourceful Huntress	7	false	false	false	0.0000	0
wolftribe_skill_unique_scm_norsca_asta_of_the_wood	hkrul_asta_special_asta.png		Asta of the Wood	14	false	false	false	0.0000	0
wolftribe_skill_scm_norsca_asta_mount_gjalfr	mount_giant_wolf.png		Gjálfr	1	false	false	false	0.0000	0
wolftribe_skill_dummy_actions_scm_norsca_asta	battle_attack.png		Actions [HIDDEN]	0	false	false	false	0.0000	0
wolftribe_skill_scm_norsca_asta_dummy	item_weapon.png	[HIDDEN]	[HIDDEN]	0	false	false	false	0.0000	0
wolftribe_scm_norsca_asta_ardenwood_bow	item_weapon.png			10	false	false	false	0.0000	0
wolftribe_skill_unique_scm_hkrul_asta_arrow	hkrul_asta_special_asta.png		Asta of the Wood	14	false	false	false	0.0000	0
