key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/hkrul_einar									
innate_hkrul_einar	innate_hkrul_einar.png			0	true	false	false	100.0000	0
hkrul_einar_special_1_0	hkrul_einar_special_1_0.png			0	false	false	false	0.0000	0
hkrul_einar_special_1_1	hkrul_einar_special_1_1.png			0	false	false	false	0.0000	0
hkrul_einar_special_1_2	hkrul_einar_special_1_2.png			0	false	false	false	0.0000	0
hkrul_einar_special_1_3	hkrul_einar_special_1_3.png			0	false	false	false	0.0000	0
hkrul_einar_special_1_4	hkrul_einar_special_1_4.png			0	false	false	false	0.0000	0
hkrul_einar_special_1_5	hkrul_einar_special_1_5.png			0	false	false	false	0.0000	0
hkrul_einar_special_0_1	hkrul_einar_special_0_1.png			0	false	false	false	0.0000	0
hkrul_einar_special_0_2	hkrul_einar_special_0_2.png			0	false	false	false	0.0000	0
hkrul_einar_sword	mount_barded_warhorse.png			0	false	false	false	0.0000	0
hkrul_einar_bear	mount_war_bear.png	Loyal, fierce, powerful and surprisingly fast – a War Bear is a symbol of Kislev itself.	War Bear	0	false	false	false	0.0000	0
rhox_einar_elite	hkrul_fealty_icon.png			0	false	false	false	0.0000	0
