key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/hkrul_late_summer									
innate_hkrul_grydal	innate_trait_grydal.png			0	true	false	false	100.0000	0
hkrul_grydal_special_1_0	hkrul_grydal_special_1_0.png			0	false	false	false	0.0000	0
hkrul_grydal_special_1_1	hkrul_grydal_special_1_1.png			0	false	false	false	0.0000	0
hkrul_grydal_special_1_2	hkrul_grydal_special_1_2.png			0	false	false	false	0.0000	0
hkrul_grydal_special_1_3	hkrul_grydal_special_1_3.png			0	false	false	false	0.0000	0
hkrul_grydal_special_1_4	hkrul_grydal_special_1_6.png			0	false	false	false	0.0000	0
hkrul_grydal_special_1_5	hkrul_grydal_special_1_5.png			0	false	false	false	0.0000	0
hkrul_grydal_special_1_6	hkrul_grydal_special_1_6.png			0	false	false	false	0.0000	0
hkrul_grydal_agent_actions	mount_barded_warhorse.png			0	false	false	false	0.0000	0
innate_hkrul_goftur	innate_trait_goftur.png			0	true	false	false	100.0000	0
hkrul_goftur_special_1_0	hkrul_goftur_special_1_0.png			0	false	false	false	0.0000	0
hkrul_goftur_special_1_1	hkrul_goftur_special_1_1.png			0	false	false	false	0.0000	0
hkrul_goftur_special_1_2	hkrul_goftur_special_1_2.png			0	false	false	false	0.0000	0
hkrul_goftur_special_1_3	hkrul_goftur_special_1_3.png			0	false	false	false	0.0000	0
hkrul_goftur_special_1_4	hkrul_goftur_special_1_4.png			0	false	false	false	0.0000	0
hkrul_goftur_special_1_5	hkrul_goftur_special_1_5.png			0	false	false	false	0.0000	0
hkrul_goftur_special_1_6	hkrul_goftur_special_1_6.png			0	false	false	false	0.0000	0
hkrul_goftur_agent_actions	mount_barded_warhorse.png			0	false	false	false	0.0000	0
hkrul_goftur_special_0_1	hkrul_goftur_special_0_1.png			0	false	false	false	0.0000	0
hkrul_goftur_special_0_2	hkrul_goftur_special_0_2.png			0	false	false	false	0.0000	0
hkrul_goftur_sword	mount_barded_warhorse.png			0	false	false	false	0.0000	0
hkrul_goftur_token	mount_barded_warhorse.png			0	false	false	false	0.0000	0
hkrul_goftur_ship	mount_barded_warhorse.png			0	false	false	false	0.0000	0
innate_hkrul_mermedus	innate_trait_goftur.png			0	true	false	false	100.0000	0
hkrul_mermedus_special_1_0	hkrul_mermedus_special_1_0.png			0	false	false	false	0.0000	0
hkrul_mermedus_special_1_1	hkrul_mermedus_special_1_1.png			0	false	false	false	0.0000	0
