key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/hkrul_yngve									
innate_hkrul_yngve	innate_hkrul_yngve.png			0	true	false	false	100.0000	0
hkrul_yngve_special_1_0	hkrul_yngve_special_1_0.png			0	false	false	false	0.0000	0
hkrul_yngve_special_1_1	hkrul_yngve_special_1_1.png			0	false	false	false	0.0000	0
hkrul_yngve_special_1_2	hkrul_yngve_special_1_2.png			0	false	false	false	0.0000	0
hkrul_yngve_special_1_3	hkrul_yngve_special_1_3.png			0	false	false	false	0.0000	0
hkrul_yngve_special_1_4	hkrul_yngve_special_1_4.png			0	false	false	false	0.0000	0
hkrul_yngve_special_1_5	hkrul_yngve_special_1_5.png			0	false	false	false	0.0000	0
hkrul_yngve_special_0_1	hkrul_yngve_special_0_1.png			0	false	false	false	0.0000	0
hkrul_yngve_special_0_2	hkrul_yngve_special_0_2.png			0	false	false	false	0.0000	0
hkrul_yngve_staff	mount_barded_warhorse.png			0	false	false	false	0.0000	0
hkrul_yngve_chariot	mount_chaos_chariot.png			0	false	false	false	0.0000	0
hkrul_yngve_horse	mount_warhorse.png			0	false	false	false	0.0000	0
hkrul_yngve_banner	mount_barded_warhorse.png			0	false	false	false	0.0000	0
hkrul_yngve_magic_dummy	trait_human.png			0	false	false	false	0.0000	0
hkrul_yngve_manticore	mount_manticore.png			0	false	false	false	0.0000	0
hkrul_yngve_eye	mount_barded_warhorse.png			0	false	false	false	0.0000	0
