key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/scm_norsca			
hkrul_defeated_trait_adella	1	hkrul_defeated_trait_adella	1
hkrul_defeated_trait_akkorak	1	hkrul_defeated_trait_akkorak	1
hkrul_defeated_trait_birna	1	hkrul_defeated_trait_birna	1
hkrul_defeated_trait_drenok	1	hkrul_defeated_trait_drenok	1
hkrul_defeated_trait_einar	1	hkrul_defeated_trait_einar	1
hkrul_defeated_trait_harald	1	hkrul_defeated_trait_harald	1
hkrul_defeated_trait_sayl	1	hkrul_defeated_trait_sayl	1
hkrul_defeated_trait_ulfric	1	hkrul_defeated_trait_ulfric	1
hkrul_defeated_trait_kolsveinn	1	hkrul_defeated_trait_kolsveinn	1
