effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/ab_wolftribe		
wh_main_lord_enable_abilities_blessing_of_the_hound	enable	wh_main_lord_abilities_blessing_of_the_hound
enable_ice_wolves_summon	enable	ice_wolves_summon
enable_passive_redirecting_aura	enable	wh3_twa08_unit_passive_redirecting_aura
wolftribe_enable_ability_my_mother	enable	wolftribe_ability_my_mother
wolftribe_enable_ability_rally_the_tribe	enable	wolftribe_ability_rally_the_tribe
wolftribe_effect_enable_primal_instincts	enable	wh2_main_unit_passive_primal_instincts
wolftribe_enable_child_of_frigustrex	enable	wolftribe_abilities_child_of_frigustrex
wolftribe_effect_ability_bitter_aura	enable	wolftribe_abilities_bitter_aura
wolftribe_effect_ability_enable_frostaxe_aura	enable	wolftribe_abilities_frostaxe_aura
wolftribe_enable_summon_champions	enable	wolftribe_summon_champions
