effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/hkrul_nor_surp				
hkrul_olaf_faction_trait	wh3_main_faction_political_diplomacy_mod_khorne	faction_to_faction_own_unseen	20.0000	start_turn_completed
hkrul_olaf_faction_trait	rhox_aesling_khorne_dedicated_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
hkrul_olaf_faction_trait	wh3_dlc26_effect_character_stat_weapon_strength_vs_empire	faction_to_character_own_engineer_only	15.0000	start_turn_completed
hkrul_olaf_faction_trait	hkrul_olaf_spear_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
hkrul_asta_debuff	wh_main_effect_force_stat_melee_attack	force_to_force_own	-50.0000	start_turn_completed
hkrul_asta_debuff	wh_main_effect_force_stat_melee_defence	force_to_force_own	-50.0000	start_turn_completed
hkrul_asta_debuff	wh_main_effect_force_stat_physical_resistance	force_to_force_own	-50.0000	start_turn_completed
hkrul_asta_debuff	wh_main_effect_force_stat_armour	force_to_force_own	-50.0000	start_turn_completed
hkrul_eyri_faction_trait	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	5.0000	start_turn_completed
hkrul_eyri_faction_trait	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	50.0000	start_turn_completed
hkrul_eyri_faction_trait	hkrul_geimdall_diplo_bjornling	faction_to_faction_own_unseen	80.0000	start_turn_completed
hkrul_eyri_faction_trait	rhox_bjornling_no_raze_feature_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
bjornling_bundle_1_1	wh_main_effect_public_order_events	faction_to_province_own_unseen	-5.0000	start_turn_completed
bjornling_bundle_1_1	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	10.0000	start_turn_completed
bjornling_bundle_1_2	wh_main_effect_public_order_events	faction_to_province_own_unseen	3.0000	start_turn_completed
bjornling_bundle_1_2	wh_main_effect_province_growth_other	faction_to_province_own	15.0000	start_turn_completed
hkrul_grydal_faction_trait	rhox_aesling_khorne_dedicated_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
hkrul_grydal_faction_trait	hkrul_grydal_ascend_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
hkrul_grydal_faction_trait	wh_main_effect_force_stat_fire_resistance	faction_to_character_own	25.0000	start_turn_completed
hkrul_grydal_faction_trait	wh3_main_faction_political_diplomacy_mod_khorne	faction_to_faction_own_unseen	25.0000	start_turn_completed
hkrul_goftur_faction_trait	wh2_main_effect_force_stat_leadership_at_sea	faction_to_force_own	6.0000	start_turn_completed
hkrul_goftur_faction_trait	wh_dlc08_effect_attrition_immunity_high_seas	faction_to_force_own	1.0000	start_turn_completed
hkrul_goftur_faction_trait	hkrul_goftur_ascend_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
hkrul_grydal_momentum	wh_main_effect_force_stat_melee_attack	faction_to_force_own	8.0000	start_turn_completed
hkrul_grydal_momentum	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-15.0000	start_turn_completed
hkrul_bjornling_momentum	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	50.0000	start_turn_completed
hkrul_bjornling_momentum	wh2_main_effect_economy_gdp_mod_trade_sea_global	faction_to_region_own	25.0000	start_turn_completed
bjornling_bundle_fish_1	wh2_main_effect_economy_gdp_mod_trade_sea_global	faction_to_region_own	25.0000	start_turn_completed
bjornling_bundle_fish_2	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	25.0000	start_turn_completed
bjornling_bundle_fish_3	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	25.0000	start_turn_completed
hkrul_norsca_marauding_bjornling	wh2_main_effect_economy_gdp_mod_trade_sea_global	region_to_region_own_provincewide	10.0000	start_turn_completed
hkrul_norsca_marauding_bjornling	wh_main_effect_province_growth_events	region_to_province_own_unseen	20.0000	start_turn_completed
hkrul_norsca_marauding_bjornling	wh_main_effect_economy_trade_good_commodity_mod	region_to_province_own_unseen	25.0000	start_turn_completed
hkrul_norsca_marauding_bjornling	rhox_bjornling_fish_catching	region_to_faction_own	10.0000	start_turn_completed
hkrul_norsca_marauding_bjornling	wh3_dlc27_ritual_target_block_norsca_marauding	region_to_region_own_unseen_provincewide	1.0000	start_turn_completed
