agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/hkrul_einar			
general	wh_dlc08_nor_norsca	hkrul_einar	false
general	wh2_main_nor_aghol	hkrul_einar	false
general	wh2_main_nor_skeggi	hkrul_einar	false
general	wh3_dlc20_nor_dolgan	hkrul_einar	false
general	wh3_dlc20_nor_kuj	hkrul_einar	false
general	wh3_dlc20_nor_kul	hkrul_einar	false
general	wh3_dlc20_nor_tong	hkrul_einar	false
general	wh3_dlc20_nor_yusak	hkrul_einar	false
general	wh3_dlc21_nor_wyrmkins	hkrul_einar	false
general	wh_dlc08_nor_naglfarlings	hkrul_einar	false
general	wh_dlc08_nor_vanaheimlings	hkrul_einar	false
general	wh_dlc08_nor_wintertooth	hkrul_einar	false
general	wh_main_nor_aesling	hkrul_einar	false
general	wh_main_nor_baersonling	hkrul_einar	false
general	wh_main_nor_bjornling	hkrul_einar	false
general	wh_main_nor_graeling	hkrul_einar	false
general	wh_main_nor_sarl	hkrul_einar	false
general	wh_main_nor_skaeling	hkrul_einar	false
general	wh_main_nor_varg	hkrul_einar	false
