ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_einar	
wh3_main_unit_passive_single_entity	hkrul_einar
wh_dlc08_lord_abilities_fight_or_die	hkrul_einar
wh_dlc08_lord_passive_rage	hkrul_einar
wh_main_character_abilities_foe_seeker	hkrul_einar
wh3_main_unit_passive_single_entity	hkrul_einar_bear
wh_dlc08_lord_abilities_fight_or_die	hkrul_einar_bear
wh_dlc08_lord_passive_rage	hkrul_einar_bear
wh_main_character_abilities_foe_seeker	hkrul_einar_bear
hkrul_einar_steelfist	hkrul_einar
hkrul_einar_steelfist	hkrul_einar_bear
hkrul_einar_fury	hkrul_einar
hkrul_einar_fury	hkrul_einar_bear
