ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_late_frost	
hkrul_mortensen_shield	hkrul_mortensen
wh3_main_unit_passive_single_entity	hkrul_mortensen
wh_main_character_abilities_deadly_onslaught	hkrul_mortensen
wh_main_character_abilities_foe_seeker	hkrul_mortensen
hkrul_mortensen_shield	hkrul_mortensen_horse
wh3_main_unit_passive_single_entity	hkrul_mortensen_horse
wh_main_character_abilities_deadly_onslaught	hkrul_mortensen_horse
wh_main_character_abilities_foe_seeker	hkrul_mortensen_horse
hkrul_mortensen_shield	hkrul_mortensen_chariot
wh3_main_unit_passive_single_entity	hkrul_mortensen_chariot
wh_main_character_abilities_deadly_onslaught	hkrul_mortensen_chariot
wh_main_character_abilities_foe_seeker	hkrul_mortensen_chariot
hkrul_mortensen_axe	hkrul_mortensen
hkrul_mortensen_axe	hkrul_mortensen_horse
hkrul_mortensen_axe	hkrul_mortensen_chariot
wh3_main_unit_passive_single_entity	hkrul_geimdall
wh_main_character_abilities_deadly_onslaught	hkrul_geimdall
hkrul_geimdall_shield_pas	hkrul_geimdall
hkrul_geimdall_helm	hkrul_geimdall
hkrul_geimdall_command	hkrul_geimdall
hkrul_mortensen_rally	hkrul_mortensen
hkrul_mortensen_rally	hkrul_mortensen_horse
hkrul_mortensen_rally	hkrul_mortensen_chariot
wh3_main_unit_passive_single_entity	hkrul_yngve
wh_dlc08_lord_abilities_fight_or_die	hkrul_yngve
wh_dlc08_lord_passive_rage	hkrul_yngve
wh_main_character_abilities_foe_seeker	hkrul_yngve
wh_dlc08_lord_abilities_fight_or_die	hkrul_geimdall
wh_dlc08_lord_passive_rage	hkrul_geimdall
wh_main_character_abilities_foe_seeker	hkrul_geimdall
wh3_main_unit_passive_single_entity	hkrul_yngve_horse
wh_dlc08_lord_abilities_fight_or_die	hkrul_yngve_horse
wh_dlc08_lord_passive_rage	hkrul_yngve_horse
wh_main_character_abilities_foe_seeker	hkrul_yngve_horse
wh3_main_unit_passive_single_entity	hkrul_yngve_chariot
wh_dlc08_lord_abilities_fight_or_die	hkrul_yngve_chariot
wh_dlc08_lord_passive_rage	hkrul_yngve_chariot
wh_main_character_abilities_foe_seeker	hkrul_yngve_chariot
hkrul_yngve_gaze	hkrul_yngve
hkrul_yngve_gaze	hkrul_yngve_horse
hkrul_yngve_gaze	hkrul_yngve_chariot
hkrul_yngve_rune	hkrul_yngve
hkrul_yngve_rune	hkrul_yngve_horse
hkrul_yngve_rune	hkrul_yngve_chariot
wh3_main_unit_passive_single_entity	hkrul_yngve_manticore
wh_dlc08_lord_abilities_fight_or_die	hkrul_yngve_manticore
wh_dlc08_lord_passive_rage	hkrul_yngve_manticore
wh_main_character_abilities_foe_seeker	hkrul_yngve_manticore
hkrul_yngve_gaze	hkrul_yngve_manticore
hkrul_yngve_rune	hkrul_yngve_manticore
wh_main_lord_passive_hold_the_line	hkrul_ziege
wh3_main_unit_passive_single_entity	hkrul_ziege
wh_main_character_abilities_deadly_onslaught	hkrul_ziege
wh_main_character_abilities_foe_seeker	hkrul_ziege
wh_main_unit_passive_frenzy	hkrul_ziege
hkrul_ziege_cry	hkrul_ziege
wh3_main_unit_passive_single_entity	hkrul_boartusk_boss
wh_dlc08_unit_passive_favour_of_the_ruinous_powers	hkrul_boartusk_boss
wh_pro04_unit_abilities_enrage	hkrul_boartusk_boss
hkrul_boartusk_shatter	hkrul_boartusk_boss
hkrul_boartusk_helm	hkrul_boartusk_boss
hkrul_boartusk_helm_weak	hkrul_boartusk_mammoth_ror
wh3_main_unit_passive_single_entity	hkrul_boartusk_mammoth_ror
wh3_dlc24_unit_passive_feral_rage_i	hkrul_boartusk_mammoth_ror
wh3_dlc24_unit_passive_feral_rage_ii	hkrul_boartusk_mammoth_ror
wh3_main_unit_passive_single_entity	hkrul_bubos_boss
hkrul_bubos_breath	hkrul_bubos_boss
hkrul_bubos_eye	hkrul_bubos_boss
wh3_main_spell_nurgle_stream_of_corruption_bound	hkrul_bubos_boss
wh_dlc08_unit_passive_rage	hkrul_bloodfjord_inf_marauder_champions_0
wh_dlc08_unit_passive_rage	hkrul_bloodfjord_inf_marauder_champions_1
wh3_dlc25_character_abilties_epidemic_outbreak_improved	hkrul_skoroth_boss
hkrul_skraevold_fury	hkrul_skraevold
wh3_main_unit_passive_single_entity	hkrul_skraevold
wh3_main_unit_passive_single_entity	hkrul_godi
wh_main_unit_passive_regeneration	hkrul_godi
wh2_dlc10_unit_passive_guardian	hkrul_godi
hkrul_godi_club	hkrul_godi
wh3_main_unit_passive_single_entity	hkrul_skoroth_boss
hkrul_skoroth_pas	hkrul_skoroth_boss
