ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_ulfric	
wh3_main_unit_passive_single_entity	hkrul_ulfric
wh_dlc08_lord_abilities_fight_or_die	hkrul_ulfric
wh_dlc08_lord_passive_rage	hkrul_ulfric
wh_main_character_abilities_foe_seeker	hkrul_ulfric
wh_dlc08_unit_passive_berserk	hkrul_bjornling_inf_marauder_berserkers_0
wh_main_unit_passive_frenzy	hkrul_bjornling_inf_marauder_berserkers_0
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_marauder_champions_0
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_marauder_champions_1
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_marauder_hunters_1
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_marauder_spearman_0
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_chaos_marauders_0
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_chaos_marauders_1
wh_dlc08_unit_passive_rage	hkrul_bjornling_inf_marauder_hunters_0
