ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/rana	
wh3_main_unit_passive_single_entity	scm_norsca_asta
wh_dlc08_lord_passive_rage	scm_norsca_asta
wolftribe_summon_champions	scm_norsca_asta
wh_main_character_abilities_deadly_onslaught	scm_norsca_asta
wh_main_character_abilities_foe_seeker	scm_norsca_asta
wh_main_lord_passive_hold_the_line	scm_norsca_asta
wh2_dlc13_lord_abilities_kill_shot	scm_norsca_asta
wh_dlc05_character_abilities_prey_of_anath_raema	scm_norsca_asta
wh3_main_unit_passive_single_entity	scm_norsca_asta_02
wh_dlc08_lord_passive_rage	scm_norsca_asta_02
wolftribe_summon_champions	scm_norsca_asta_02
wh_main_character_abilities_deadly_onslaught	scm_norsca_asta_02
wh_main_character_abilities_foe_seeker	scm_norsca_asta_02
wh_main_lord_passive_hold_the_line	scm_norsca_asta_02
wh2_dlc13_lord_abilities_kill_shot	scm_norsca_asta_02
wh_dlc05_character_abilities_prey_of_anath_raema	scm_norsca_asta_02
