key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/hkrul_nor_surp																			
hkrul_olg	0	30	150	325	1.0000	axe	axe	medium	8	1.5000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_tuula	0	35	145	325	1.0000	axe	axe	medium	8	1.5000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_olaf	0	30	150	350	1.0000	axe	axe_2h	large	9	1.6000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_haftagg	0	35	165	280	2.0000	axe	creatures_claws	medium	4	1.5000	1.2500	0.0000	false		0	10	4.0000		false
hkrul_orgrim	45	0	170	290	2.0000	axe	creatures_claws	medium	4	1.5000	1.2500	0.0000	false		0	10	4.0000		false
hkrul_usta	0	0	250	100	3.0000	sword	sword	medium	5	1.3000	0.7500	0.0000	false		0	10	4.0000		false
hkrul_kammler	0	0	140	330	1.0000	axe	axe_2h	large	9	1.6000	1.0000	0.0000	true		0	10	4.0000		false
hkrul_eyri	0	15	175	300	3.0000	axe	axe	large	8	1.0000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_berus	0	0	150	315	6.0000	sword	sword	medium	4	1.0000	0.7500	0.0000	false		0	10	4.0000		false
hkrul_hafskael	0	25	410	0	3.0000	axe	hammer	medium	5	1.5000	0.7500	0.0000	false		0	10	4.0000		false
