ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/hkrul_late_summer							
hkrul_grydal_shield	1.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_goftur_helm	1.0000	100.0000	damage_taken	linear_multiplier	-1.0000	0.0000	false
hkrul_mermedus_shield	1.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_urf_helm	1.0000	100.0000	damage_taken	linear_multiplier	-1.0000	0.0000	false
hkrul_goftur_sword	0.0000	200.0000	nearby_enemy_deaths	linear_multiplier	-1.0000	0.0000	true
hkrul_goftur_children	0.0000	5.0000	enemy_in_range_low_morale	linear_multiplier	-1.0000	0.0000	true
hkrul_shark_augment_2	0.0000	2000.0000	damage_taken	linear_multiplier	-1.0000	0.0000	true
hkrul_grydal_mark	0.0000	200.0000	nearby_enemy_deaths	linear_multiplier	-1.0000	0.0000	true
hkrul_skoroth_pas	0.0000	200.0000	nearby_enemy_deaths	linear_multiplier	-1.0000	0.0000	true
