invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/hkrul_late_summer	
unit_is_large	hkrul_grydal_shield
unit_is_large	hkrul_goftur_rally
is_not_under_bow_fire	hkrul_goftur_shield_pas
unit_is_large	hkrul_mermedus_shield
unit_is_large	hkrul_urf_rally
is_not_under_bow_fire	hkrul_urf_shield_pas
flying_currently	hkrul_urf_sword
on_a_platform	hkrul_urf_sword
climbing_manning_eq_on_platform	hkrul_goftur_shark_summon
unit_is_not_commander_class	hkrul_goftur_bite
flying_currently	hkrul_goftur_wave
on_a_platform	hkrul_goftur_wave
unit_is_not_in_water	hkrul_goftur_cry
on_a_platform	hkrul_grydal_axe
health_above_50%_base	eyri_killshot
unit_is_not_commander_class	eyri_killshot
climbing_manning_eq_on_platform	eyri_killshot
climbing_manning_eq_on_platform	eyri_killshot_multi
