node	tab
#technology_ui_tabs_to_technology_nodes_junctions_tables;0;db/technology_ui_tabs_to_technology_nodes_junctions_tables/rhox_fc_norsca	
rhox_bjornling_ritual_1	nor_mil
rhox_bjornling_ritual_2	nor_mil
rhox_bjornling_ritual_3	nor_mil
rhox_bjornling_ritual_4	nor_mil
rhox_sarg_sla_1	nor_mil
rhox_sarg_sla_2	nor_mil
rhox_sarg_sla_3	nor_mil
rhox_sarg_normal_1	nor_mil
rhox_sarg_normal_2	nor_mil
rhox_sarg_normal_3	nor_mil
rhox_akkorak_knight_node_1	nor_mil
rhox_akkorak_knight_node_2	nor_mil
hkrul_bjornling_tech_unique_1	nor_cam
hkrul_bjornling_tech_unique_2	nor_cam
hkrul_bjornling_tech_unique_3	nor_mil
hkrul_bjornling_tech_unique_4	nor_mil
