faction	ui_feature
#ui_features_to_factions_tables;0;db/ui_features_to_factions_tables/rhox_fc_norsca	
wh_main_nor_baersonling	PATH_TO_GLORY
wh_dlc08_nor_naglfarlings	BIG_NAMES
wh3_dlc20_nor_kul	WARBANDS
mixer_nor_snaegr	PATH_TO_GLORY
mixer_nor_cult_of_mermedus	PATH_TO_GLORY
wh2_main_nor_skeggi	ALLEGIANCE_TO_THE_GODS
wh3_dlc20_nor_kul	ALLEGIANCE_TO_THE_GODS
wh_dlc08_nor_vanaheimlings	ALLEGIANCE_TO_THE_GODS
wh_main_nor_aesling	ALLEGIANCE_TO_THE_GODS
wh_main_nor_baersonling	ALLEGIANCE_TO_THE_GODS
wh_main_nor_graeling	ALLEGIANCE_TO_THE_GODS
wh_main_nor_sarl	ALLEGIANCE_TO_THE_GODS
wh_main_nor_varg	ALLEGIANCE_TO_THE_GODS
mixer_nor_fjordlings	ALLEGIANCE_TO_THE_GODS
wh3_dlc20_nor_yusak	ALLEGIANCE_TO_THE_GODS
wh_main_nor_skaeling	ALLEGIANCE_TO_THE_GODS
wh_dlc08_nor_naglfarlings	ALLEGIANCE_TO_THE_GODS
mixer_nor_snaegr	ALLEGIANCE_TO_THE_GODS
mixer_nor_bloodfjord	ALLEGIANCE_TO_THE_GODS
mixer_nor_cult_of_mermedus	ALLEGIANCE_TO_THE_GODS
mixer_nor_beorg	ALLEGIANCE_TO_THE_GODS
cr_nor_servants_of_mermedus	ALLEGIANCE_TO_THE_GODS
