ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/hkrul_late_summer	
hkrul_grydal_shield	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_goftur_helm	wh3_dlc23_ability_intensity_damage_taken
hkrul_mermedus_shield	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_urf_helm	wh3_dlc23_ability_intensity_damage_taken
hkrul_goftur_shark_summon	hkrul_shark_summon_1
hkrul_goftur_sword	wh3_dlc20_ability_intensity_nearby_enemy_kills
hkrul_goftur_children	wh3_main_ability_intensity_enemy_low_morale_nearby
hkrul_goftur_wave	wh_main_vortex_large_breath
hkrul_shark_augment_2	wh3_dlc23_ability_intensity_damage_taken
hkrul_olg_summon	wh2_dlc11_summon_rotting_prometheans
hkrul_olg_summon	wh_main_all_direct_damage_unbinding
hkrul_grydal_axe	wh_main_all_strong_against_units
hkrul_grydal_axe	wh_main_all_weak_against_single
hkrul_grydal_axe	wh_main_vortex_large_breath
hkrul_grydal_mark	wh3_dlc20_ability_intensity_nearby_enemy_kills
hkrul_skoroth_pas	wh3_dlc20_ability_intensity_nearby_enemy_kills
hkrul_moon_time	wh_main_all_replenish
eyri_killshot_multi	wh_main_all_strong_against_single
eyri_killshot	wh_main_all_strong_against_single
