key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/rhox_beorg		
wh_dlc08_nor_art_hellcannon_battery	mixer_nor_beorg	true
wh_pro04_nor_inf_chaos_marauders_ror_0	mixer_nor_beorg	true
wh_pro04_nor_inf_marauder_berserkers_ror_0	mixer_nor_beorg	true
wh_pro04_nor_mon_fimir_ror_0	mixer_nor_beorg	true
wh_pro04_nor_mon_marauder_warwolves_ror_0	mixer_nor_beorg	true
wh_pro04_nor_mon_skinwolves_ror_0	mixer_nor_beorg	true
wh_pro04_nor_mon_war_mammoth_ror_0	mixer_nor_beorg	true
rhox_bjornling_maneater	mixer_nor_geimdall_huscarls	true
rhox_bjornling_maneater_ironfist	mixer_nor_geimdall_huscarls	true
rhox_bjornling_maneater_great_weapon	mixer_nor_geimdall_huscarls	true
wh_dlc08_nor_mon_fimir_0	mixer_nor_geimdall_huscarls	false
wh_dlc08_nor_mon_fimir_1	mixer_nor_geimdall_huscarls	false
wh_pro04_nor_mon_fimir_ror_0	mixer_nor_geimdall_huscarls	false
hkrul_norsca_ymir	mixer_nor_geimdall_huscarls	true
wh_dlc08_nor_art_hellcannon_battery	mixer_nor_geimdall_huscarls	true
wh_pro04_nor_inf_chaos_marauders_ror_0	mixer_nor_geimdall_huscarls	true
wh_pro04_nor_inf_marauder_berserkers_ror_0	mixer_nor_geimdall_huscarls	false
wh_pro04_nor_mon_marauder_warwolves_ror_0	mixer_nor_geimdall_huscarls	true
wh_pro04_nor_mon_skinwolves_ror_0	mixer_nor_geimdall_huscarls	true
wh_pro04_nor_mon_war_mammoth_ror_0	mixer_nor_geimdall_huscarls	true
