variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/hkrul_late_summer							
hkrul_grydal		hkrul_grydal		1.0000	0.8100	0.0000	
hkrul_goftur		hkrul_goftur		1.0000	1.2000	0.0000	
hkrul_shark_1		hkrul_shark_1		1.0000	1.3000	0.0000	
hkrul_mermedus		hkrul_mermedus		1.0000	1.7900	0.0000	
hkrul_urf		hkrul_urf		1.0000	1.1600	0.0000	
hkrul_shark_2		hkrul_hammerhead		1.0000	1.3000	0.0000	
hkrul_shark_3		hkrul_sharkalt		1.0000	1.7000	0.0000	
hkrul_goftur_campaign		hkrul_goftur_campaign		1.0000	1.2000	0.0000	
hkrul_mermedus_campaign		hkrul_mermedus_campaign		1.0000	1.7900	0.0000	
