variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/rhox_beorg							
hkrul_oerl		hkrul_oerl		1.0000	1.1400	0.0000	
hkrul_oerl_campaign		hkrul_oerl_campaign		1.0000	1.1600	0.0000	
hkrul_bearmen		hkrul_bearmen		1.0000	1.0400	0.0500	
phy_bears		phy_bears		1.0000	1.1000	0.0500	
hkrul_beorg_bear_sem		phy_bear_sem		1.0000	2.5000	0.0000	
hkrul_beorg		hkrul_beorg		1.0000	1.1600	0.0000	
hkrul_beorg_bear		hkrul_beorg_bear		1.0000	1.2200	0.0000	
hkrul_beorg_campaign		hkrul_beorg_campaign		1.0000	1.1600	0.0000	
partypus_beorg_agent_ship		partypus_beorg_agent_ship		1.0000	1.0000	0.0000	
scm_fc_norsca_urs_nor_marauder_throwing_axe		urs_marauder_throwing_axe		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder_javelins		urs_marauder_javelins		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder_spear		urs_marauder_spear		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder		urs_marauder		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder_great_weapons		urs_marauder_great_weapons		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder_horsemen		urs_marauder_horsemen		1.0000	0.9500	0.0500	
scm_fc_norsca_urs_nor_marauder_horsemen_throwing_axe		urs_marauder_horsemen_throwing_axe		1.0000	0.9500	0.0500	
scm_fc_norsca_urs_nor_marauder_berserker		urs_marauder_dual_axes		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder_champion_0		urs_marauder_champion		1.0000	1.0000	0.0500	
scm_fc_norsca_urs_nor_marauder_champion_1		urs_marauder_champion_great_mace		1.0000	1.0000	0.0500	
