key	text	tooltip
#Loc;1;text/db/rhox_adella_building.loc		
building_chains_chain_tooltip_rhox_adella_dae_temple_kho	Reverence	false
building_chains_chain_tooltip_rhox_adella_dae_temple_nur	Reverence	false
building_chains_chain_tooltip_rhox_adella_dae_temple_sla	Reverence	false
building_chains_chain_tooltip_rhox_adella_dae_temple_tze	Reverence	false
building_culture_variants_name_rhox_adella_dae_temple_kho_1wh2_main_nor_skeggi	Pit of Massacres	false
building_culture_variants_name_rhox_adella_dae_temple_kho_2wh2_main_nor_skeggi	Death Podium	false
building_culture_variants_name_rhox_adella_dae_temple_kho_3wh2_main_nor_skeggi	Crucible of Blood	false
building_culture_variants_name_rhox_adella_dae_temple_kho_4wh2_main_nor_skeggi	Slaughtercage	false
building_culture_variants_name_rhox_adella_dae_temple_kho_5wh2_main_nor_skeggi	Khornate Coliseum	false
building_culture_variants_name_rhox_adella_dae_temple_nur_1wh2_main_nor_skeggi	Plague Doctor's Surgery	false
building_culture_variants_name_rhox_adella_dae_temple_nur_2wh2_main_nor_skeggi	Leprosarium	false
building_culture_variants_name_rhox_adella_dae_temple_nur_3wh2_main_nor_skeggi	Plaguelord's Almshouse	false
building_culture_variants_name_rhox_adella_dae_temple_nur_4wh2_main_nor_skeggi	The Grand Morgue	false
building_culture_variants_name_rhox_adella_dae_temple_nur_5wh2_main_nor_skeggi	Putrefaction Mound	false
building_culture_variants_name_rhox_adella_dae_temple_sla_1wh2_main_nor_skeggi	Gallery of Delusions	false
building_culture_variants_name_rhox_adella_dae_temple_sla_2wh2_main_nor_skeggi	Halls of Ovation	false
building_culture_variants_name_rhox_adella_dae_temple_sla_3wh2_main_nor_skeggi	Pagaents of Perfection	false
building_culture_variants_name_rhox_adella_dae_temple_sla_4wh2_main_nor_skeggi	The Eternal Banquet	false
building_culture_variants_name_rhox_adella_dae_temple_sla_5wh2_main_nor_skeggi	Baroque Pavane	false
building_culture_variants_name_rhox_adella_dae_temple_tze_1wh2_main_nor_skeggi	Scrying Crystal	false
building_culture_variants_name_rhox_adella_dae_temple_tze_2wh2_main_nor_skeggi	Conjuring Stones	false
building_culture_variants_name_rhox_adella_dae_temple_tze_3wh2_main_nor_skeggi	Augural Charts	false
building_culture_variants_name_rhox_adella_dae_temple_tze_4wh2_main_nor_skeggi	Gyroscope Room	false
building_culture_variants_name_rhox_adella_dae_temple_tze_5wh2_main_nor_skeggi	Thaumaturgic Orrery	false
